name,label,summary,description,predict
libreoffice-langpack-ml,应用, Malayalam language pack for LibreOffice, Provides additional Malayalam translations and resources for LibreOffice.,应用
libreoffice-langpack-pl,应用, Polish language pack for LibreOffice, Provides additional Polish translations and resources for LibreOffice.,应用
libreoffice-langpack-pt-PT,应用, Portuguese language pack for LibreOffice, Provides additional Portuguese translations and resources for LibreOffice.,应用
libreoffice-langpack-te,应用, Telugu language pack for LibreOffice, Provides additional Telugu translations and resources for LibreOffice.,应用
libreoffice-langpack-th,应用, Thai language pack for LibreOffice, Provides additional Thai translations and resources for LibreOffice.,应用
libreoffice-langpack-xh,应用, Xhosa language pack for LibreOffice, Provides additional Xhosa translations and resources for LibreOffice.,应用
libreoffice-math,应用, LibreOffice Equation Editor Application, The LibreOffice Equation Editor Application.,应用
libreoffice-ogltrans,应用, 3D OpenGL slide transitions for LibreOffice," OpenGL Transitions enable 3D slide transitions to be used in LibreOffice.
Requires good quality 3D support for your graphics card for best experience.",应用
libreoffice-ure,应用, UNO Runtime Environment," UNO is the component model of LibreOffice. UNO offers interoperability between
programming languages, other components models and hardware architectures,
either in process or over process boundaries, in the Intranet as well as in the
Internet. UNO components may be implemented in and accessed from any
programming language for which a UNO implementation (AKA language binding) and
an appropriate bridge or adapter exists",应用
libreoffice-wiki-publisher,应用, Create Wiki articles on MediaWiki servers with LibreOffice," The Wiki Publisher enables you to create Wiki articles on MediaWiki servers
without having to know the syntax of the MediaWiki markup language. Publish
your new and existing documents transparently with writer to a wiki page.",应用
librepo,系统, Repodata downloading library," A library providing C and Python (libcURL like) API to downloading repository
metadata.",系统
libreport-plugin-bugzilla,应用, libreport's bugzilla plugin, Plugin to report bugs into the bugzilla.,应用
libreport-plugin-reportuploader,应用, libreport's reportuploader plugin, Plugin to report bugs into anonymous FTP site associated with ticketing system.,应用
libreport-plugin-rhtsupport,应用, libreport's RHTSupport plugin, Plugin to report bugs into RH support system.,应用
python3-libreport,应用, Python 3 bindings for report-libs, Python 3 bindings for report-libs.,应用
librepository,系统, Hierarchical repository abstraction layer," LibRepository provides a simple abstraction layer to access bulk content that
is organized in a hierarchical layer.",应用
libselinux,核心, SELinux library and simple utilities," Security-enhanced Linux is a feature of the Linux庐 kernel and a number
of utilities with enhanced security functionality designed to add
mandatory access controls to Linux.  The Security-enhanced Linux
kernel contains new architectural components originally developed to
improve the security of the Flask operating system. These
architectural components provide general support for the enforcement
of many kinds of mandatory access control policies, including those
based on the concepts of Type Enforcement庐, Role-based Access
Control, and Multi-level Security.

libselinux provides an API for SELinux applications to get and set
process and file security contexts and to obtain security policy
decisions.  Required for any applications that use the SELinux API.",系统
libselinux-ruby,核心, SELinux ruby bindings for libselinux," The libselinux-ruby package contains the ruby bindings for developing
SELinux applications.",应用
libselinux-static,核心, Static libraries used to build SELinux," The libselinux-static package contains the static libraries
needed for developing SELinux applications.",系统
libselinux-utils,核心, SELinux libselinux utilities, The libselinux-utils package contains the utilities,系统
python3-libselinux,核心, SELinux python 3 bindings for libselinux," The libselinux-python3 package contains python 3 bindings for developing
SELinux applications.",系统
libsemanage,系统, SELinux binary policy manipulation library," Security-enhanced Linux is a feature of the Linux庐 kernel and a number
of utilities with enhanced security functionality designed to add
mandatory access controls to Linux.  The Security-enhanced Linux
kernel contains new architectural components originally developed to
improve the security of the Flask operating system. These
architectural components provide general support for the enforcement
of many kinds of mandatory access control policies, including those
based on the concepts of Type Enforcement庐, Role-based Access
Control, and Multi-level Security.

libsemanage provides an API for the manipulation of SELinux binary policies.
It is used by checkpolicy (the policy compiler) and similar tools, as well
as by programs like load_policy that need to perform specific transformations
on binary policies such as customizing policy boolean settings.",系统
libsepol-static,系统, static libraries used to build policy manipulation tools," The libsepol-static package contains the static libraries and header files
needed for developing applications that manipulate binary policies.",系统
libserf,应用, High-Performance Asynchronous HTTP Client Library," The serf library is a C-based HTTP client library built upon the Apache
Portable Runtime (APR) library. It multiplexes connections, running the
read/write communication asynchronously. Memory copies and transformations are
kept to a minimum to provide high performance operation.",应用
libsmbios,系统, Libsmbios C/C++ shared libraries," Libsmbios is a library and utilities that can be used by client programs to get
information from standard BIOS tables, such as the SMBIOS table.

This package provides the C-based libsmbios library, with a C interface.",系统
python3-solv,系统,Python bindings for the libsolv library ,"Python bindings for the libsolv library.

Python 3 version. ",系统
libspectre,应用, A library for rendering PostScript(TM) documents," libspectre is a small library for rendering PostScript(TM) documents.
It provides a convenient easy to use API for handling and rendering
PostScript documents.",应用
libssh,系统, A library implementing the SSH protocol," The ssh library was designed to be used by programmers needing a working SSH
implementation by the mean of a library. The complete control of the client is
made by the programmer. With libssh, you can remotely execute programs, transfer
files, use a secure and transparent tunnel for your remote programs. With its
Secure FTP implementation, you can play with remote files easily, without
third-party programs others than libcrypto (from openssl).",系统
libstaroffice,应用, A library for import of binary StarOffice documents, libstaroffice is a library for import of binary StarOffice documents.,应用
libstoragemgmt,应用, Storage array management library," The libStorageMgmt library will provide a vendor agnostic open source storage
application programming interface (API) that will allow management of storage
arrays.  The library includes a command line interface for interactive use and
scripting (command lsmcli).  The library also has a daemon that is used for
executing plug-ins in a separate process (lsmd).",应用
libstoragemgmt-local-plugin,应用,Files for local pseudo plugin of libstoragemgmt ,"The libstoragemgmt-local-plugin is a plugin that provides auto
plugin selection for locally managed storage. ",应用
libstoragemgmt-megaraid-plugin,应用,Files for LSI MegaRAID support for libstoragemgmt ,"The libstoragemgmt-megaraid-plugin package contains the plugin for LSI
MegaRAID storage management via storcli. ",应用
libstoragemgmt-smis-plugin,应用,Files for SMI-S generic array support for libstoragemgmt ,"The libstoragemgmt-smis-plugin package contains plug-in for generic SMI-S array
support. ",应用
libstoragemgmt-udev,应用,Udev files for libstoragemgmt ,"The libstoragemgmt-udev package contains udev rules and helper utilities for
uevents generated by the kernel. ",应用
libtar,应用, Tar file manipulation API," libtar is a C library for manipulating tar archives. It supports both
the strict POSIX tar format and many of the commonly-used GNU
extensions.",核心
libtheora,应用, Theora Video Compression Codec," Theora is Xiph.Org's first publicly released video codec, intended
for use within the Ogg's project's Ogg multimedia streaming system.
Theora is derived directly from On2's VP3 codec; Currently the two are
nearly identical, varying only in encapsulating decoder tables in the
bitstream headers, but Theora will make use of this extra freedom
in the future to improve over what is possible with VP3.",应用
libtiff-tools,应用, Command-line utility programs for manipulating TIFF files," This package contains command-line programs for manipulating TIFF format
image files using the libtiff library.",应用
libtimezonemap,应用, Time zone map widget for Gtk+," libtimezonemap is a time zone map widget for Gtk+. The widget displays a world
map with a highlighted region representing the selected time zone, and the
location can be changed by clicking on the map.

This library is a fork of the of the code from gnome-control-center's datetime
panel, which was itself a fork of Ubiquity's timezone map.",应用
libtirpc,系统,Transport Independent RPC Library ,"This package contains SunLib's implementation of transport-independent
RPC (TI-RPC) documentation.  This library forms a piece of the base of
Open Network Computing (ONC), and is derived directly from the
Solaris 2.3 source.

TI-RPC is an enhanced version of TS-RPC that requires the UNIX System V
Transport Layer Interface (TLI) or an equivalent X/Open Transport Interface
(XTI).  TI-RPC is on-the-wire compatible with the TS-RPC, which is supported
by almost 70 vendors on all major operating systems.  TS-RPC source code
(RPCSRC 4.0) remains available from several internet sites. ",系统
libtool,系统, The GNU Portable Library Tool," GNU Libtool is a set of shell scripts which automatically configure UNIX and
UNIX-like systems to generically build shared libraries. Libtool provides a
consistent, portable interface which simplifies the process of using shared
libraries.

If you are developing programs which will use shared libraries, but do not use
the rest of the GNU Autotools (such as GNU Autoconf and GNU Automake), you
should install the libtool package.

The libtool package also includes all files needed to integrate the GNU
Portable Library Tool (libtool) and the GNU Libtool Dynamic Module Loader
(ltdl) into a package built using the GNU Autotools (including GNU Autoconf
and GNU Automake).",应用
liburing,系统,Linux-native io_uring I/O access library ,"Provides native async IO for the Linux kernel, in a fast and efficient
manner, for both buffered and O_DIRECT. ",应用
libusbmuxd,应用, Client library USB multiplex daemon for Apple's iOS devices," libusbmuxd is the client library used for communicating with Apple's iPod Touch,
iPhone, iPad and Apple TV devices. It allows multiple services on the device
to be accessed simultaneously.",系统
libusbx,系统, Library for accessing USB devices," This package provides a way for applications to access USB devices.

Libusbx is a fork of the original libusb, which is a fully API and ABI
compatible drop in for the libusb-1.0.9 release. The libusbx fork was
started by most of the libusb-1.0 developers, after the original libusb
project did not produce a new release for over 18 months.

Note that this library is not compatible with the original libusb-0.1 series,
if you need libusb-0.1 compatibility install the libusb package.",系统
python3-libuser,应用,Python 3 bindings for the libuser library ,"The python3-libuser package contains the Python bindings for
the libuser library, which provides a Python 3 API for manipulating and
administering user and group accounts. ",系统
libutempter,系统,A privileged helper for utmp/wtmp updates ,"This library provides interface for terminal emulators such as
screen and xterm to record user sessions to utmp and wtmp files. ",应用
libva,应用, Video Acceleration (VA) API for Linux, Libva is a library providing the VA API video acceleration API.,应用
libvirt-daemon-driver-network,系统, Network driver plugin for the libvirtd daemon," The network driver plugin for the libvirtd daemon, providing
an implementation of the virtual network APIs using the Linux
bridge capabilities.",系统
libvirt-daemon-driver-storage-iscsi,系统, Storage driver plugin for iscsi," The storage driver backend adding implementation of the storage APIs for iscsi
volumes using the host iscsi stack.",系统
libvirt-daemon-driver-storage-iscsi-direct,系统, Storage driver plugin for iscsi-direct," The storage driver backend adding implementation of the storage APIs for iscsi
volumes using libiscsi direct connection.",系统
libvirt-daemon-driver-storage-rbd,系统, Storage driver plugin for rbd," The storage driver backend adding implementation of the storage APIs for rbd
volumes using the ceph protocol.",系统
libvirt-daemon-kvm,系统, Server side daemon & driver required to run KVM guests," Server side daemon and driver required to manage the virtualization
capabilities of the KVM hypervisor",系统
libvirt-docs,系统, API reference and website documentation," Includes the API reference for the libvirt C library, and a complete
copy of the libvirt.org website documentation.",应用
libvirt-libs,系统, Client side libraries, Shared libraries for accessing the libvirt daemon.,系统
libvirt-dbus,系统, libvirt D-Bus API binding, This package provides D-Bus API for libvirt,系统
libvirt-gconfig,系统, libvirt object APIs for processing object configuration," This package provides APIs for processing the object configuration
data",应用
libvirt-glib,系统, libvirt glib integration for events," This package provides integration between libvirt and the glib
event loop.",系统
libvma,应用, A library for boosting TCP and UDP traffic (over RDMA hardware)," libvma is a LD_PRELOAD-able library that boosts performance of TCP and
UDP traffic. It allows application written over standard socket API to
handle fast path data traffic from user space over Ethernet and/or
Infiniband with full network stack bypass and get better throughput,
latency and packets/sec rate.

No application binary change is required for that.
libvma is supported by RDMA capable devices that support ""verbs""
IBV_QPT_RAW_PACKET QP for Ethernet and/or IBV_QPT_UD QP for IPoIB.",系统
libvncserver,应用, Library to make writing a VNC server easy," LibVNCServer makes writing a VNC server (or more correctly, a program exporting
a frame-buffer via the Remote Frame Buffer protocol) easy.

It hides the programmer from the tedious task of managing clients and
compression schemata.",应用
libwps,应用, A library for import of Microsoft Works documents," libwps is a library for import of Microsoft Works text documents,
spreadsheets and (in a limited way) databases. Full list of supported
formats is available at
https://sourceforge.net/p/libwps/wiki/Home/#recognized-formats .",应用
libxcb,系统, A C binding to the X11 protocol," The X protocol C-language Binding (XCB) is a replacement for Xlib featuring a
small footprint, latency hiding, direct access to the protocol, improved
threading support, and extensibility.",应用
libxcrypt,核心,"Extended crypt library for DES, MD5, Blowfish and others ","libxcrypt is a modern library for one-way hashing of passwords.  It
supports DES, MD5, SHA-2-256, SHA-2-512, and bcrypt-based password
hashes, and provides the traditional Unix 'crypt' and 'crypt_r'
interfaces, as well as a set of extended interfaces pioneered by
Openwall Linux, 'crypt_rn', 'crypt_ra', 'crypt_gensalt',
'crypt_gensalt_rn', and 'crypt_gensalt_ra'.

libxcrypt is intended to be used by login(1), passwd(1), and other
similar programs; that is, to hash a small number of passwords during
an interactive authentication dialogue with a human.  It is not
suitable for use in bulk password-cracking applications, or in any
other situation where speed is more important than careful handling of
sensitive data.  However, it *is* intended to be fast and lightweight
enough for use in servers that must field thousands of login attempts
per minute.

On Linux-based systems, by default libxcrypt will be binary backward
compatible with the libcrypt.so.1 shipped as part of the GNU C Library.
This means that all existing binary executables linked against glibc's
libcrypt should work unmodified with this library's libcrypt.so.1.  We
have taken pains to provide exactly the same ""symbol versions"" as were
used by glibc on various CPU architectures, and to account for the
variety of ways in which the Openwall extensions were patched into
glibc's libcrypt by some Linux distributions.  (For instance,
compatibility symlinks for SuSE's ""libowcrypt"" are provided.)

However, the converse is not true: programs linked against libxcrypt
will not work with glibc's libcrypt.  Also, programs that use certain
legacy APIs supplied by glibc's libcrypt ('encrypt', 'encrypt_r',
'setkey', 'setkey_r', and 'fcrypt') cannot be compiled against libxcrypt. ",应用
libxcrypt-static,核心, Static library for -static linking with libxcrypt," This package contains the libxcrypt static libraries for -static
linking.  You don't need this, unless you link statically, which
is highly discouraged.",系统
libXdamage,应用, X Damage extension library, X.Org X11 libXdamage runtime library.,应用
libXfixes,应用, X Fixes library, X Fixes library.,应用
libXi,应用, X.Org X11 libXi runtime library, X.Org X11 libXi runtime library,应用
libxkbfile,应用, X.Org X11 libxkbfile runtime library, X.Org X11 libxkbfile runtime library,应用
libxml++,应用, C++ wrapper for the libxml2 XML parser library," libxml++ is a C++ wrapper for the libxml2 XML parser library. Its original
author is Ari Johnson and it is currently maintained by Christophe de Vienne
and Murray Cumming.",应用
libxml2,应用, Library providing XML and HTML support," This library allows to manipulate XML files. It includes support
to read, modify and write XML and HTML files. There is DTDs support
this includes parsing and validation even with complex DtDs, either
at parse time or later once the document has been modified. The output
can be a simple SAX stream or and in-memory DOM like representations.
In this case one can use the built-in XPath and XPointer implementation
to select sub nodes or ranges. A flexible Input/Output mechanism is
available, with existing HTTP and FTP modules and combined to an
URI library.",应用
python3-libxml2,应用,Python 3 bindings for the libxml2 library ,"The libxml2-python3 package contains a Python 3 module that permits
applications written in the Python programming language, version 3, to use the
interface supplied by the libxml2 library to manipulate XML files.

This library allows to manipulate XML files. It includes support
to read, modify and write XML and HTML files. There is DTDs support
this includes parsing and validation even with complex DTDs, either
at parse time or later once the document has been modified. ",系统
libXNVCtrl,应用, Library providing the NV-CONTROL API," This packages contains the libXNVCtrl library from the nvidia-settings
application. This library provides the NV-CONTROL API for communicating with
the proprietary NVidia xorg driver. This package does not contain the
nvidia-settings tool itself as that is included with the proprietary drivers
themselves.",应用
libXres,应用, X-Resource extension client library," X-Resource is an extension that allows a client to query
the X server about its usage of various resources.",应用
libxshmfence,应用, X11 shared memory fences," Shared memory fences for X11, as used in DRI3.",应用
libXtst,应用, X.Org X11 libXtst runtime library, X.Org X11 libXtst runtime library,应用
libxudp,应用, Express UDP(xudp) library, Express UDP is a high-performance UDP communication software library based on the xdp socket technology.,应用
libXxf86vm,应用, X.Org X11 libXxf86vm runtime library, X.Org X11 libXxf86vm runtime library,应用
lightdm,应用, A cross-desktop Display Manager," Lightdm is a display manager that:
* Is cross-desktop - supports different desktops
* Supports different display technologies
* Is lightweight - low memory usage and fast performance",应用
lightdm-gtk-greeter-settings,应用, Settings editor for LightDM GTK+ Greeter," Just a small dialog to make it easier for users to modify the settings
of lightdm-gtk-greeter.",系统
iwl1000-firmware,其它,Firmware for Intel庐 PRO/Wireless 1000 B/G/N network adaptors ,"This package contains the firmware required by the Intel wireless drivers
for Linux to support the iwl1000 hardware.  Usage of the firmware
is subject to the terms and conditions contained inside the provided
LICENSE file. Please read it carefully. ",其它
iwl105-firmware,其它,Firmware for Intel(R) Centrino Wireless-N 105 Series Adapters ,"This package contains the firmware required by the Intel wireless drivers
for Linux to support the iwl105 hardware.  Usage of the firmware
is subject to the terms and conditions contained inside the provided
LICENSE file. Please read it carefully. ",其它
iwl135-firmware,其它,Firmware for Intel(R) Centrino Wireless-N 135 Series Adapters ,"This package contains the firmware required by the Intel wireless drivers
for Linux to support the iwl135 hardware.  Usage of the firmware
is subject to the terms and conditions contained inside the provided
LICENSE file. Please read it carefully. ",其它
iwl6000-firmware,其它,Firmware for Intel(R) Wireless WiFi Link 6000 AGN Adapter ,"This package contains the firmware required by the Intel wireless drivers
for Linux.  Usage of the firmware is subject to the terms and conditions
contained inside the provided LICENSE file. Please read it carefully. ",其它
iwl6000g2b-firmware,其它,Firmware for Intel(R) Wireless WiFi Link 6030 Series Adapters ,"This package contains the firmware required by the Intel wireless drivers
for Linux.  Usage of the firmware is subject to the terms and conditions
contained inside the provided LICENSE file. Please read it carefully. ",其它
iwl6050-firmware,其它,Firmware for Intel(R) Wireless WiFi Link 6050 Series Adapters ,"This package contains the firmware required by the Intel wireless drivers
for Linux.  Usage of the firmware is subject to the terms and conditions
contained inside the provided LICENSE file. Please read it carefully. ",其它
iwl7260-firmware,其它,Firmware for Intel(R) Wireless WiFi Link 726x/8000/9000 Series Adapters ,"This package contains the firmware required by the Intel wireless drivers
for Linux.  Usage of the firmware is subject to the terms and conditions
contained inside the provided LICENSE file. Please read it carefully. ",其它
libertas-sd8787-firmware,其它,Firmware for Marvell Libertas SD 8787 Network Adapter ,Firmware for Marvell Libertas SD 8787 Network Adapter ,其它
llvm-googletest,系统, LLVM's modified googletest sources, LLVM's modified googletest sources.,系统
llvm-static,系统, LLVM static libraries, Static libraries for the LLVM compiler infrastructure.,系统
llvm-toolset,系统, Package that installs llvm-toolset, This is the main package for llvm-toolset.,系统
lmdb-libs,应用, Shared libraries for lmdb," The lmdb-libs package contains shared libraries necessary for running
applications that use lmdb.",应用
log4j12,应用, Java logging package," Log4j is a tool to help the programmer output log statements to a
variety of output targets.",应用
lohit-bengali-fonts,其它, Free Bengali script font, This package provides a free Bengali TrueType/OpenType font.,其它
lohit-devanagari-fonts,其它, Free Devanagari Script Font, This package provides a free Devanagari Script TrueType/OpenType font.,其它
lohit-gujarati-fonts,其它, Free Gujarati font, This package provides a free Gujarati truetype/opentype font.,其它
lorax,系统, Tool for creating the anaconda install images," Lorax is a tool for creating the anaconda install images.

It also includes livemedia-creator which is used to create bootable livemedia,
including live isos and disk images. It can use libvirtd for the install, or
Anaconda's image install feature.",系统
lorax-lmc-virt,系统, livemedia-creator libvirt dependencies, Additional dependencies required by livemedia-creator when using it with qemu-kvm.,系统
lorax-templates-rhel,核心, RHEL8 build templates for lorax and livemedia-creator," RHEL-specific Lorax templates for creating the boot.iso and live isos are
placed in /usr/share/lorax/templates.d/80-rhel",应用
lttng-ust,应用, LTTng Userspace Tracer library," This library may be used by user-space applications to generate
trace-points using LTTng.",应用
lua-json,应用, JSON Parser/Constructor for Lua," LuaJSON is a customizable JSON decoder/encoder, using LPEG for parsing.",应用
lua-posix,应用, A POSIX library for Lua," This is a POSIX library for Lua which provides access to many POSIX features
to Lua programs.",应用
lucene,应用," High-performance, full-featured text search engine"," Apache Lucene is a high-performance, full-featured text search
engine library written entirely in Java. It is a technology suitable
for nearly any application that requires full-text search, especially
cross-platform.",应用
lucene-sandbox,应用, Lucene Sandbox Module, Lucene Sandbox Module.,应用
lucene++,应用," A high-performance, full-featured text search engine written in C++"," An up to date C++ port of the popular Java Lucene library, a high-performance, full-featured text search engine.",应用
luksmeta,应用, Utility for storing small metadata in the LUKSv1 header," LUKSMeta is a command line utility for storing small portions of metadata in
the LUKSv1 header for use before unlocking the volume.",应用
device-mapper,系统, Device mapper utility," This package contains the supporting userspace utility, dmsetup,
for the kernel device-mapper.",系统
device-mapper-event,系统, Device-mapper event daemon," This package contains the dmeventd daemon for monitoring the state
of device-mapper devices.",系统
device-mapper-event-libs,系统, Device-mapper event daemon shared library," This package contains the device-mapper event daemon shared library,
libdevmapper-event.",系统
lvm2,系统, Userland logical volume management tools," LVM2 includes all of the support for handling read/write operations on
physical volumes (hard disks, RAID-Systems, magneto optical, etc.,
multiple devices (MD), see mdadm(8) or even loop devices, see
losetup(8)), creating volume groups (kind of virtual disks) from one
or more physical volumes and creating one or more logical volumes
(kind of logical partitions) in volume groups.",系统
lvm2-dbusd,系统,LVM2 D-Bus daemon ,"
Daemon for access to LVM2 functionality through a D-Bus interface. ",系统
lynx,应用, A text-based Web browser," Lynx is a text-based Web browser. Lynx does not display any images,
but it does support frames, tables, and most other HTML tags. One
advantage Lynx has over graphical browsers is speed; Lynx starts and
exits quickly and swiftly displays web pages.",应用
lz4-java-javadoc,应用, Javadoc for lz4-java, This package contains javadoc for lz4-java.,应用
lzo,应用, Data compression library with very fast (de)compression," LZO is a portable lossless data compression library written in ANSI C.
It offers pretty fast compression and very fast decompression.
Decompression requires no memory. In addition there are slower
compression levels achieving a quite competitive compression ratio
while still decompressing at this very high speed.",应用
m4,系统,The GNU macro processor ,"A GNU implementation of the traditional UNIX macro processor.  M4 is
useful for writing text files which can be logically parsed, and is used
by many programs as part of their build process.  M4 has built-in
functions for including files, running shell commands, doing arithmetic,
etc.  The autoconf program needs m4 for generating configure scripts, but
not for running configure scripts.

Install m4 if you need a macro processor. ",系统
malaga,应用, A programming language for automatic language analysis," A software package for the development and application of
grammars that are used for the analysis of words and sentences of natural
languages. It is a language-independent system that offers a programming
language for the modelling of the language-dependent grammatical
information. This language is also called Malaga.

Malaga is based on the grammatical theory of the ""Left Associative Grammar""
(LAG), developed by Roland Hausser, professor for Computational Linguistics at
University of Erlangen, Germany.",应用
man-db,应用, Tools for searching and reading man pages," The man-db package includes five tools for browsing man-pages:
man, whatis, apropos, manpath and lexgrog. man formats and displays
manual pages. whatis searches the manual page names. apropos searches the
manual page names and descriptions. manpath determines search path
for manual pages. lexgrog directly reads header information in
manual pages.",应用
mariadb-backup,应用, The mariabackup tool for physical online backups," MariaDB Backup is an open source tool provided by MariaDB for performing
physical online backups of InnoDB, Aria and MyISAM tables.
For InnoDB, ""hot online"" backups are possible.",应用
mariadb-errmsg,应用, The error messages files required by server and embedded," The package provides error messages files for the MariaDB daemon and the
embedded server. You will need to install this package to use any of those
MariaDB packages.",应用
mariadb-gssapi-server,应用, GSSAPI authentication plugin for server," GSSAPI authentication server-side plugin for MariaDB for passwordless login.
This plugin includes support for Kerberos on Unix.",应用
mariadb-server,应用, The MariaDB server and related files," MariaDB is a multi-user, multi-threaded SQL database server. It is a
client/server implementation consisting of a server daemon (mysqld)
and many different client programs and libraries. This package contains
the MariaDB server and some accompanying files and directories.
MariaDB is a community developed branch of MySQL.",应用
mariadb-server-galera,应用, The configuration files and scripts for galera replication," MariaDB is a multi-user, multi-threaded SQL database server. It is a
client/server implementation consisting of a server daemon (mysqld)
and many different client programs and libraries. This package contains
the MariaDB server and some accompanying files and directories.
MariaDB is a community developed branch of MySQL.",应用
mariadb-server-utils,应用, Non-essential server utilities for MariaDB/MySQL applications," This package contains all non-essential server utilities and scripts for
managing databases. It also contains all utilities requiring Perl and it is
the only MariaDB sub-package, except test subpackage, that depends on Perl.",应用
marisa,应用, Static and spece-efficient trie data structure library," Matching Algorithm with Recursively Implemented StorAge (MARISA) is a
static and space-efficient trie data structure. And libmarisa is a C++
library to provide an implementation of MARISA. Also, the package of
libmarisa contains a set of command line tools for building and
operating a MARISA-based dictionary.

A MARISA-based dictionary supports not only lookup but also reverse
lookup, common prefix search and predictive search.",应用
matchbox-window-manager,应用, Window manager for the Matchbox Desktop," Matchbox is a base environment for the X Window System running on non-desktop
embedded platforms such as handhelds, set-top boxes, kiosks and anything else
for which screen space, input mechanisms or system resources are limited.

This package contains the window manager from Matchbox.",应用
maven-lib,应用, Core part of Maven, Core part of Apache Maven that can be used as a library.,应用
maven-javadoc,应用, API documentation for maven, API documentation for maven.,应用
maven-artifact-manager,应用, Compatibility Maven artifact manager artifact, Maven artifact manager artifact,应用
maven-plugin-descriptor,应用, Maven Plugin Description Model, Maven plugin descriptor artifact,应用
maven-plugin-registry,应用, Compatibility Maven plugin registry artifact, Maven plugin registry artifact,应用
maven-project,应用, Compatibility Maven project artifact, Maven project artifact,应用
maven-antrun-plugin,应用, Maven AntRun Plugin," This plugin provides the ability to run Ant tasks from within Maven.
It is even possible to embed Ant scripts in the POM.",应用
maven-archiver-javadoc,应用, Javadoc for maven-archiver, Javadoc for maven-archiver.,应用
maven-common-artifact-filters,应用, Maven Common Artifact Filters," A collection of ready-made filters to control inclusion/exclusion of artifacts
during dependency resolution.",应用
maven-common-artifact-filters-javadoc,应用, Javadoc for maven-common-artifact-filters, This package contains javadoc for maven-common-artifact-filters.,应用
maven-compiler-plugin-javadoc,应用, Javadoc for maven-compiler-plugin, API documentation for maven-compiler-plugin.,应用
maven-dependency-analyzer-javadoc,应用, API documentation for maven-dependency-analyzer, API documentation for maven-dependency-analyzer,应用
maven-doxia-module-apt,应用, APT module for maven-doxia, This package provides APT module for maven-doxia.,应用
maven-doxia-module-docbook-simple,应用, Simplified DocBook module for maven-doxia, This package provides Simplified DocBook module for maven-doxia.,应用
maven-doxia-module-fml,应用, FML module for maven-doxia, This package provides FML module for maven-doxia.,应用
maven-doxia-module-xdoc,应用, XDoc module for maven-doxia, This package provides XDoc module for maven-doxia.,应用
maven-doxia-sink-api,应用, Sink-api module for maven-doxia, This package provides Sink-api module for maven-doxia.,应用
maven-enforcer-javadoc,应用, Javadoc for maven-enforcer, API documentation for maven-enforcer.,应用
maven-enforcer-plugin,应用, Enforcer Rules, This component contains the standard Enforcer Rules.,应用
maven-enforcer-rules,应用, Enforcer Rules, This component contains the standard Enforcer Rules.,应用
maven-file-management,应用, Maven File Management API, Provides a component for plugins to easily resolve project dependencies.,应用
maven-plugin-build-helper,应用, Build Helper Maven Plugin," This plugin contains various small independent goals to assist with
Maven build lifecycle.",应用
maven-plugins-pom,应用, Maven Plugins POM," This package provides Maven Plugins parent POM used by different
Apache Maven plugins.",应用
maven-plugin-testing-javadoc,应用, Javadoc for maven-plugin-testing, API documentation for maven-plugin-testing.,应用
maven-test-tools,应用, Maven Testing Tool, Framework to test Maven Plugins with Easymock objects.,应用
maven-plugin-tools,应用, Maven Plugin Tools," The Maven Plugin Tools contains the necessary tools to be able to produce Maven
Plugins in a variety of languages.",应用
maven-plugin-tools-ant,应用, Maven Plugin Tool for Ant, Descriptor extractor for plugins written in Ant.,应用
maven-plugin-tools-javadoc,应用, Maven Plugin Tools Javadoc," The Maven Plugin Tools Javadoc provides several Javadoc taglets to be used when
generating Javadoc.

Java API documentation for maven-plugin-tools is contained in
maven-plugin-tools-javadocs package. This package does not contain it.",应用
maven-plugin-tools-model,应用, Maven Plugin Metadata Model," The Maven Plugin Metadata Model provides an API to play with the Metadata
model.",应用
maven-script-ant,应用, Maven Ant Mojo Support," This package provides Maven Ant Mojo Support, which write Maven plugins with
Ant scripts.",应用
maven-remote-resources-plugin,应用, Maven Remote Resources Plugin," Process resources packaged in JARs that have been deployed to
a remote repository. The primary use case being satisfied is
the consistent inclusion of common resources in a large set of
projects. Maven projects at Apache use this plug-in to satisfy
licensing requirements at Apache where each project much include
license and notice files for each release.",应用
maven-remote-resources-plugin-javadoc,应用, Javadoc for maven-remote-resources-plugin, API documentation for maven-remote-resources-plugin.,应用
maven-reporting-impl-javadoc,应用, Javadoc for maven-reporting-impl, API documentation for maven-reporting-impl.,应用
maven-resources-plugin-javadoc,应用, Javadoc for maven-resources-plugin, API documentation for maven-resources-plugin.,应用
maven-shade-plugin-javadoc,应用, API documentation for maven-shade-plugin, API documentation for maven-shade-plugin.,应用
maven-shared,应用, Maven Shared Components, Maven Shared Components,应用
maven-shared-incremental,应用, Maven Incremental Build support utilities," Various utility classes and plexus components for supporting
incremental build functionality in maven plugins.",应用
maven-shared-utils-javadoc,应用, Javadoc for maven-shared-utils, API documentation for maven-shared-utils.,应用
maven-source-plugin,应用, Plugin creating source JAR," The Maven Source Plugin creates a JAR archive of the
source files of the current project.",应用
maven-surefire-provider-junit,应用, JUnit provider for Maven Surefire, JUnit provider for Maven Surefire.,应用
maven-surefire-provider-testng,应用, TestNG provider for Maven Surefire, TestNG provider for Maven Surefire.,应用
maven-verifier,应用, Maven verifier, Provides a test harness for Maven integration tests.,应用
