name,class_true,class_pred,summary,description,人工判别,说明（关键判别特征）
lua-lunit,库,服务,Unit testing framework for Lua,"Lunit is a unit testing framework for lua, written in lua.

Lunit provides 26 assert functions, and a few misc functions for usage
in an easy unit testing framework.

Lunit comes with a test suite to test itself. The testsuite consists
of approximately 710 assertions.",库,lua-是编程语言前缀
lua-srpm-macros,库,工具,RPM macros for building Lua source packages,RPM macros for building Lua source packages.,库,lua-是编程语言前缀
luksmeta,库,工具,Utility for storing small metadata in the LUKSv1 header,"LUKSMeta is a command line utility for storing small portions of metadata in
the LUKSv1 header for use before unlocking the volume.",工具,command line utility
device-mapper-event,工具,服务,Device-mapper event daemon,"This package contains the dmeventd daemon for monitoring the state
of device-mapper devices.",服务,daemon
device-mapper-libs,库,工具,Device-mapper shared library,"This package contains the device-mapper shared library, libdevmapper.",库,library
lvm2,工具,服务,Userland logical volume management tools,"LVM2 includes all of the support for handling read/write operations on
physical volumes (hard disks, RAID-Systems, magneto optical, etc.,
multiple devices (MD), see mdadm(8) or even loop devices, see
losetup(8)), creating volume groups (kind of virtual disks) from one
or more physical volumes and creating one or more logical volumes
(kind of logical partitions) in volume groups.",工具,tools
lvm2-libs,库,工具,Shared libraries for lvm2,This package contains shared lvm2 libraries for applications.,库,libraries
lvm2-lockd,服务,工具,LVM locking daemon,"
LVM commands use lvmlockd to coordinate access to shared storage.",服务,daemon
lynx,工具,服务,A text-based Web browser,"Lynx is a text-based Web browser. Lynx does not display any images,
but it does support frames, tables, and most other HTML tags. One
advantage Lynx has over graphical browsers is speed; Lynx starts and
exits quickly and swiftly displays web pages.",工具,浏览器
lz4-libs,工具,库,Libaries for lz4,This package contains the libaries for lz4.,库,#NAME?
lzop,工具,库,Real-time file compressor,"lzop is a compression utility which is designed to be a companion to gzip.
It is based on the LZO data compression library and its main advantages over
gzip are much higher compression and decompression speed at the cost of some
compression ratio. The lzop compression utility was designed with the goals
of reliability, speed, portability and with reasonable drop-in compatibility
to gzip.",工具,utility
m17n-db,库,工具,Multilingualization datafiles for m17n-lib,"This package contains multilingualization (m17n) datafiles for m17n-lib
which describe input maps, encoding maps, OpenType font data and
font layout text rendering for languages.",库,
mailcap,工具,库,Helper application and MIME type associations for file types,"The mailcap file is used by the metamail program.  Metamail reads the
mailcap file to determine how it should display non-text or multimedia
material.  Basically, mailcap associates a particular type of file
with a particular program that a mail agent or other program can call
in order to handle the file.  Mailcap should be installed to allow
certain programs to be able to handle non-text files.

Also included in this package is the mime.types file which contains a
list of MIME types and their filename ""extension"" associations, used
by several applications e.g. to determine MIME types for filenames.",工具,
libmalaga,工具,库,Library files for malaga,Library files for malaga.,库,
malaga-suomi-voikko,工具,服务,A description of Finnish morphology written in Malaga (Voikko edition),"A description of Finnish morphology written in Malaga. This package is built
to support the Voikko spellchecker/hyphenator, it doesn't support the Sukija
text indexer.",工具,拼写检查
man-pages,工具,库,Linux kernel and C library user-space interface documentation,A large collection of manual pages from the Linux Documentation Project (LDP).,库,
man-pages-overrides,工具,其它,Complementary and updated manual pages,"A collection of manual (""man"") pages to complement other packages or update
those contained therein. Always have the latest version of this package
installed.",库,
mariadb,服务,工具,A very fast and robust SQL database server,"MariaDB is a community developed branch of MySQL - a multi-user, multi-threaded
SQL database server. It is a client/server implementation consisting of
a server daemon (mysqld) and many different client programs and libraries.
The base package contains the standard MariaDB/MySQL client programs and
generic MySQL files.",服务,MySQL开源版本数据库服务
mariadb-common,服务,工具,The shared files required by server and client,"The package provides the essential shared files for any MariaDB program.
You will need to install this package to use any other MariaDB package.",服务,
mariadb-embedded,服务,库,MariaDB as an embeddable library,"MariaDB is a multi-user, multi-threaded SQL database server. This
package contains a version of the MariaDB server that can be embedded
into a client application instead of running as a separate process.
MariaDB is a community developed branch of MySQL.",库,library
mariadb-oqgraph-engine,服务,库,The Open Query GRAPH engine for MariaDB,"The package provides Open Query GRAPH engine (OQGRAPH) as plugin for MariaDB
database server. OQGRAPH is a computation engine allowing hierarchies and more
complex graph structures to be handled in a relational fashion. In a nutshell,
tree structures and friend-of-a-friend style searches can now be done using
standard SQL syntax, and results joined onto other tables.",库,
mariadb-server-utils,服务,工具,Non-essential server utilities for MariaDB/MySQL applications,"This package contains all non-essential server utilities and scripts for
managing databases. It also contains all utilities requiring Perl and it is
the only MariaDB sub-package, except test subpackage, that depends on Perl.",工具,utils
mariadb-connector-c,库,服务,The MariaDB Native Client library (C driver),"The MariaDB Native Client library (C driver) is used to connect applications
developed in C/C++ to MariaDB and MySQL databases.",库,library
mariadb-connector-c-config,库,其它,Configuration files for packages that use /etc/my.cnf as a configuration file,"This package delivers /etc/my.cnf that includes other configuration files
from the /etc/my.cnf.d directory and ships this directory as well.
Other packages should only put their files into /etc/my.cnf.d directory
and require this package, so the /etc/my.cnf file is present.",库,
maven2-javadoc,工具,库,Javadoc for maven2,Javadoc for maven2.,库,"如果跟随主包Maven，则应归类到工具，如果单独来看归类为库也可以
下同"
maven-monitor,工具,库,Compatibility Maven monitor artifact,Maven monitor artifact,库,
maven-javadoc,工具,库,API documentation for maven,API documentation for maven.,库,
maven-antrun-plugin-javadoc,工具,库,Javadoc for maven-antrun-plugin,This package contains the API documentation for maven-antrun-plugin.,库,
maven-archiver-javadoc,工具,库,Javadoc for maven-archiver,Javadoc for maven-archiver.,库,
maven-artifact-resolver-javadoc,工具,库,Javadoc for maven-artifact-resolver,API documentation for maven-artifact-resolver.,库,
maven-artifact-transfer-javadoc,工具,库,API documentation for maven-artifact-transfer,This package provides API documentation for maven-artifact-transfer.,库,
maven-assembly-plugin-javadoc,工具,库,API documentation for maven-assembly-plugin,This package provides API documentation for maven-assembly-plugin.,库,
maven-clean-plugin-javadoc,工具,库,API documentation for maven-clean-plugin,This package provides API documentation for maven-clean-plugin.,库,
maven-common-artifact-filters-javadoc,工具,库,Javadoc for maven-common-artifact-filters,This package contains javadoc for maven-common-artifact-filters.,库,
maven-compiler-plugin-javadoc,工具,库,Javadoc for maven-compiler-plugin,API documentation for maven-compiler-plugin.,库,
maven-dependency-analyzer-javadoc,工具,库,API documentation for maven-dependency-analyzer,API documentation for maven-dependency-analyzer,库,
maven-dependency-plugin-javadoc,工具,库,API documentation for maven-dependency-plugin,API documentation for maven-dependency-plugin.,库,
maven-dependency-tree-javadoc,工具,库,Javadoc for maven-dependency-tree,This package contains javadoc for maven-dependency-tree.,库,
maven-doxia-javadoc,工具,库,Javadoc for maven-doxia,API documentation for maven-doxia.,库,
maven-doxia-sink-api,工具,库,Sink-api module for maven-doxia,This package provides Sink-api module for maven-doxia.,库,
maven-doxia-sitetools-javadoc,工具,库,Javadoc for maven-doxia-sitetools,API documentation for maven-doxia-sitetools.,库,
maven-enforcer-javadoc,工具,库,Javadoc for maven-enforcer,API documentation for maven-enforcer.,库,
maven-file-management-javadoc,工具,库,Javadoc for maven-file-management,API documentation for maven-file-management.,库,
maven-filtering-javadoc,工具,库,Javadoc for maven-filtering,This package contains the API documentation for maven-filtering.,库,
maven-install-plugin-javadoc,工具,库,Javadoc for maven-install-plugin,API documentation for maven-install-plugin.,库,
maven-invoker-javadoc,工具,库,Javadoc for maven-invoker,API documentation for maven-invoker.,库,
maven-invoker-plugin-javadoc,工具,库,Javadoc for maven-invoker-plugin,API documentation for maven-invoker-plugin.,库,
maven-jar-plugin-javadoc,工具,库,Javadoc for maven-jar-plugin,API documentation for maven-jar-plugin.,库,
maven-plugin-build-helper-javadoc,工具,库,API documentation for maven-plugin-build-helper,This package provides API documentation for maven-plugin-build-helper.,库,
maven-plugin-bundle-javadoc,工具,库,Javadoc for maven-plugin-bundle,API documentation for maven-plugin-bundle.,库,
maven-plugin-testing-javadoc,工具,库,Javadoc for maven-plugin-testing,API documentation for maven-plugin-testing.,库,
maven-test-tools,工具,库,Maven Testing Tool,Framework to test Maven Plugins with Easymock objects.,工具,
maven-plugin-tools-javadocs,工具,库,Javadoc for maven-plugin-tools,API documentation for maven-plugin-tools.,库,
maven-remote-resources-plugin-javadoc,工具,库,Javadoc for maven-remote-resources-plugin,API documentation for maven-remote-resources-plugin.,库,
maven-reporting-api-javadoc,工具,库,Javadoc for maven-reporting-api,API documentation for maven-reporting-api.,库,
maven-reporting-impl-javadoc,工具,库,Javadoc for maven-reporting-impl,API documentation for maven-reporting-impl.,库,
maven-resolver-api,工具,库,Maven Artifact Resolver API,The application programming interface for the repository system.,库,
maven-resolver-connector-basic,工具,库,Maven Artifact Resolver Connector Basic,A repository connector implementation for repositories using URI-based layouts.,库,
maven-resolver-impl,工具,库,Maven Artifact Resolver Implementation,An implementation of the repository system.,库,
maven-resolver-spi,工具,库,Maven Artifact Resolver SPI,"The service provider interface for repository system implementations and
repository connectors.",库,
maven-resolver-javadoc,工具,库,API documentation for maven-resolver,This package provides API documentation for maven-resolver.,库,
maven-resolver-transport-classpath,工具,库,Maven Artifact Resolver Transport Classpath,A transport implementation for repositories using classpath:// URLs.,库,
maven-resolver-transport-file,工具,库,Maven Artifact Resolver Transport File,A transport implementation for repositories using file:// URLs.,库,
maven-resources-plugin-javadoc,工具,库,Javadoc for maven-resources-plugin,API documentation for maven-resources-plugin.,库,
maven-script-interpreter-javadoc,工具,库,Javadoc for maven-script-interpreter,API documentation for maven-script-interpreter.,库,
maven-shade-plugin-javadoc,工具,库,API documentation for maven-shade-plugin,API documentation for maven-shade-plugin.,库,
maven-shared-incremental-javadoc,工具,库,API documentation for maven-shared-incremental,This package provides API documentation for maven-shared-incremental.,库,
maven-shared-io-javadoc,工具,库,Javadoc for maven-shared-io,API documentation for maven-shared-io.,库,
maven-shared-utils-javadoc,工具,库,Javadoc for maven-shared-utils,API documentation for maven-shared-utils.,库,
maven-source-plugin-javadoc,工具,库,Javadoc for maven-source-plugin,API documentation for maven-source-plugin.,库,
maven-surefire-javadoc,工具,库,Javadoc for maven-surefire,Javadoc for maven-surefire.,库,
maven-verifier-javadoc,工具,库,Javadoc for maven-verifier,API documentation for maven-verifier.,库,
maven-wagon-file,工具,库,file module for maven-wagon,file module for maven-wagon.,库,
maven-wagon-javadoc,工具,库,Javadoc for maven-wagon,Javadoc for maven-wagon.,库,
maven-wagon-providers,工具,库,providers module for maven-wagon,providers module for maven-wagon,库,
mc,工具,库,User-friendly text console file manager and visual shell,"Midnight Commander is a visual shell much like a file manager, only with
many more features. It is a text mode application, but it also includes
mouse support. Midnight Commander's best features are its ability to FTP,
view tar and zip files, and to poke into RPMs for specific files.",工具,
mcelog,工具,服务,Tool to translate x86-64 CPU Machine Check Exception data,"mcelog is a utility that collects and decodes Machine Check Exception data
on x86-32 and x86-64 systems.",工具,utility
libmcpp,工具,库,Alternative C/C++ preprocessor (library build),This package provides a library build of mcpp.,库,library
mcpp,工具,库,Alternative C/C++ preprocessor,"C/C++ preprocessor defines and expands macros and processes '#if',
'#include' and some other directives.

MCPP is an alternative C/C++ preprocessor with the highest conformance.
It supports multiple standards: K&R, ISO C90, ISO C99, and ISO C++98.
MCPP is especially useful for debugging a source program which uses
complicated macros and also useful for checking portability of a source.

Though mcpp could be built as a replacement of GCC's resident
preprocessor or as a stand-alone program without using library build of
mcpp, this package installs only a program named 'mcpp' which links
shared library of mcpp and behaves independent from GCC.",工具,
mdadm,工具,服务,The mdadm program controls Linux md devices (software RAID arrays),"The mdadm program is used to create, manage, and monitor Linux MD (software
RAID) devices.  As such, it provides similar functionality to the raidtools
package.  However, mdadm is a single program, and it can perform
almost all functions without a configuration file, though a configuration
file can be used to help with some common tasks.",工具,program
mdevctl,工具,库,Mediated device management and persistence utility,"mdevctl is a utility for managing and persisting devices in the
mediated device device framework of the Linux kernel.  Mediated
devices are sub-devices of a parent device (ex. a vGPU) which
can be dynamically created and potentially used by drivers like
vfio-mdev for assignment to virtual machines.",工具,utility
mecab,工具,库,Yet Another Part-of-Speech and Morphological Analyzer,"MeCab is a open source morphological analyzer which uses
CRF (Conditional Random Fields) as the estimation of parameters.

NOTE:
You have to install MeCab dictionary rpm to make use
of MeCab.",工具,
media-player-info,库,其它,Data files describing media player capabilities,"media-player-info is a repository of data files describing media player
(mostly USB Mass Storage ones) capabilities. These files contain information
about the directory layout to use to add music to these devices, about the
supported file formats, etc.

The package also installs a udev rule to identify media player devices.",库,
mesa-dri-drivers,库,工具,Mesa-based DRI drivers,Mesa-based DRI drivers.,库,跟随转包mesa
mesa-filesystem,库,工具,Mesa driver filesystem,Mesa driver filesystem.,库,
mesa-libglapi,库,工具,Mesa shared glapi,Mesa shared glapi.,库,
mesa-vdpau-drivers,库,工具,Mesa-based VDPAU drivers,Mesa-based VDPAU drivers.,库,
glx-utils,库,工具,GLX utilities,The glx-utils package provides the glxinfo and glxgears utilities.,工具,#NAME?
metacity,服务,库,Unobtrusive window manager,"Metacity is a window manager that integrates nicely with the GNOME desktop.
It strives to be quiet, small, stable, get on with its job, and stay out of
your attention.",服务,窗口管理器
metis,工具,库,Serial Graph Partitioning and Fill-reducing Matrix Ordering,"METIS is a set of serial programs for partitioning graphs,
partitioning finite element meshes, and producing fill reducing
orderings for sparse matrices.
The algorithms implemented in METIS are based on the multilevel
recursive-bisection, multilevel k-way, and multi-constraint
partitioning schemes developed in our lab.
METIS is distributed with OpenMP support.",工具,
microcode_ctl,工具,服务,CPU microcode updates for Intel x86 processors,"This package provides microcode update files for Intel x86 and x86_64 CPUs.

The microcode update is volatile and needs to be uploaded on each system
boot i.e. it isn't stored on a CPU permanently; reboot and it reverts
back to the old microcode.

Package name ""microcode_ctl"" is historical, as the binary with the same name
is no longer used for microcode upload and, as a result, no longer provided.",工具,
microdnf,工具,库,Lightweight implementation of DNF in C,"Micro DNF is a lightweight C implementation of DNF, designed to be used
for doing simple packaging actions when you don't need full-blown DNF and
you want the tiniest useful environments possible.

That is, you don't want any interpreter stack and you want the most
minimal environment possible so you can build up to exactly what you need.",工具,
micropipenv,工具,库,A simple wrapper around pip to support Pipenv and Poetry files,"A lightweight wrapper for pip to support Pipenv and Poetry lock files or
converting them to pip-tools compatible output.",工具,
mingw32-bzip2,工具,库,32 Bit version of bzip2 for Windows,"Bzip2 is a freely available, patent-free, high quality data compressor.
Bzip2 compresses files to within 10 to 15 percent of the capabilities
of the best techniques available.  However, bzip2 has the added benefit
of being approximately two times faster at compression and six times
faster at decompression than those techniques.  Bzip2 is not the
fastest compression utility, but it does strike a balance between speed
and compression capability.

This package contains development tools and libraries for use when
cross-compiling Windows software.",工具,
mingw32-bzip2-static,工具,库,Static library for mingw32-bzip2 development,Static library for mingw32-bzip2 development.,库,
mingw64-bzip2,工具,库,64 Bit version of bzip2 for Windows,"Bzip2 is a freely available, patent-free, high quality data compressor.
Bzip2 compresses files to within 10 to 15 percent of the capabilities
of the best techniques available.  However, bzip2 has the added benefit
of being approximately two times faster at compression and six times
faster at decompression than those techniques.  Bzip2 is not the
fastest compression utility, but it does strike a balance between speed
and compression capability.

This package contains development tools and libraries for use when
cross-compiling Windows software.",工具,
mingw64-bzip2-static,工具,库,Static library for mingw64-bzip2 development,Static library for mingw64-bzip2 development.,库,
mingw32-crt,工具,库,MinGW Windows cross-compiler runtime for the win32 target,"MinGW Windows cross-compiler runtime, base libraries for the win32 target.",工具,
mingw64-crt,工具,库,MinGW Windows cross-compiler runtime for the win64 target,"MinGW Windows cross-compiler runtime, base libraries for the win64 target.",工具,
mingw32-expat,工具,库,MinGW Windows port of expat XML parser library,"This is expat, the C library for parsing XML, written by James Clark. Expat
is a stream oriented XML parser. This means that you register handlers with
the parser prior to starting the parse. These handlers are called when the
parser discovers the associated structures in the document being parsed. A
start tag is an example of the kind of structures for which you may
register handlers.",库,library
mingw64-expat,工具,库,MinGW Windows port of expat XML parser library,"This is expat, the C library for parsing XML, written by James Clark. Expat
is a stream oriented XML parser. This means that you register handlers with
the parser prior to starting the parse. These handlers are called when the
parser discovers the associated structures in the document being parsed. A
start tag is an example of the kind of structures for which you may
register handlers.",库,library
mingw32-filesystem,工具,库,MinGW cross compiler base filesystem and environment for the win32 target,"This package contains the base filesystem layout, RPM macros and
environment for all MinGW packages.",工具,
mingw64-filesystem,工具,库,MinGW cross compiler base filesystem and environment for the win64 target,"This package contains the base filesystem layout, RPM macros and
environment for all MinGW packages.",工具,
mingw32-freetype-static,工具,库,Static version of the MinGW Windows Freetype library,Static version of the MinGW Windows Freetype library.,库,
mingw64-freetype-static,工具,库,Static version of the MinGW Windows Freetype library,Static version of the MinGW Windows Freetype library.,库,
mingw32-cpp,工具,库,MinGW Windows cross-C Preprocessor for the win32 target,MinGW Windows cross-C Preprocessor for the win32 target.,工具,
mingw32-gcc-c++,工具,库,MinGW Windows cross-compiler for C++ for the win32 target,MinGW Windows cross-compiler for C++ for the win32 target.,工具,
mingw64-cpp,工具,库,MinGW Windows cross-C Preprocessor for the win64 target.,MinGW Windows cross-C Preprocessor for the win64 target,工具,
mingw64-gcc,工具,库,MinGW Windows cross-compiler (GCC) for C for the win64 target,MinGW Windows cross-compiler (GCC) for C for the win64 target.,工具,
mingw64-gcc-c++,工具,库,MinGW Windows cross-compiler for C++ for the win64 target,MinGW Windows cross-compiler for C++ for the win64 target.,工具,
mingw32-libpng,库,工具,MinGW Windows Libpng library,MinGW Windows Libpng library.,库,library
mingw64-libpng,库,工具,MinGW Windows Libpng library,MinGW Windows Libpng library.,库,library
mingw32-openssl,库,工具,MinGW port of the OpenSSL toolkit,"The OpenSSL toolkit provides support for secure communications between
machines. OpenSSL includes a certificate management tool and shared
libraries which provide various cryptographic algorithms and
protocols.

This package contains Windows (MinGW) libraries and development tools.",库,
mingw64-openssl,库,工具,MinGW port of the OpenSSL toolkit,"The OpenSSL toolkit provides support for secure communications between
machines. OpenSSL includes a certificate management tool and shared
libraries which provide various cryptographic algorithms and
protocols.

This package contains Windows (MinGW) libraries and development tools.",库,
mingw32-pcre,库,工具,MinGW Windows pcre library,"Cross compiled Perl-compatible regular expression library for use with mingw32.

PCRE has its own native API, but a set of ""wrapper"" functions that are based on
the POSIX API are also supplied in the library libpcreposix. Note that this
just provides a POSIX calling interface to PCRE: the regular expressions
themselves still follow Perl syntax and semantics. The header file
for the POSIX-style functions is called pcreposix.h.",库,library
mingw64-pcre,库,工具,MinGW Windows pcre library,"Cross compiled Perl-compatible regular expression library for use with mingw64.

PCRE has its own native API, but a set of ""wrapper"" functions that are based on
the POSIX API are also supplied in the library libpcreposix. Note that this
just provides a POSIX calling interface to PCRE: the regular expressions
themselves still follow Perl syntax and semantics. The header file
for the POSIX-style functions is called pcreposix.h.",库,library
mingw32-sqlite,库,工具,MinGW Windows port of sqlite embeddable SQL database engine,"SQLite is a C library that implements an SQL database engine. A large
subset of SQL92 is supported. A complete database is stored in a
single disk file. The API is designed for convenience and ease of use.
Applications that link against SQLite can enjoy the power and
flexibility of an SQL database without the administrative hassles of
supporting a separate database server.  Version 2 and version 3 binaries
are named to permit each to be installed on a single host

This package contains cross-compiled libraries and development tools
for Windows.",库,library
mingw64-sqlite,库,工具,MinGW Windows port of sqlite embeddable SQL database engine,"SQLite is a C library that implements an SQL database engine. A large
subset of SQL92 is supported. A complete database is stored in a
single disk file. The API is designed for convenience and ease of use.
Applications that link against SQLite can enjoy the power and
flexibility of an SQL database without the administrative hassles of
supporting a separate database server.  Version 2 and version 3 binaries
are named to permit each to be installed on a single host

This package contains cross-compiled libraries and development tools
for Windows.",库,library
mobile-broadband-provider-info,库,服务,Mobile broadband provider database,"The mobile-broadband-provider-info package contains listings of mobile
broadband (3G) providers and associated network and plan information.",库,
mod_auth_gssapi,库,服务,A GSSAPI Authentication module for Apache,"The mod_auth_gssapi module is an authentication service that implements the
SPNEGO based HTTP Authentication protocol defined in RFC4559.",库,"mod_是提供跟apache httpd服务使用的模块，可以归为库或者服务
下同"
mod_auth_mellon,库,服务,A SAML 2.0 authentication module for the Apache Httpd Server,"The mod_auth_mellon module is an authentication service that implements the
SAML 2.0 federation protocol. It grants access based on the attributes
received in assertions generated by a IdP server.",库,
mod_auth_mellon-diagnostics,库,工具,Build of mod_auth_mellon with diagnostic logging,"Build of mod_auth_mellon with diagnostic logging. See README.redhat.rst
in the doc directory for instructions on using the diagnostics build.",库,
mod_auth_openidc,库,服务,OpenID Connect auth module for Apache HTTP Server,"This module enables an Apache 2.x web server to operate as
an OpenID Connect Relying Party and/or OAuth 2.0 Resource Server.",库,
mod_authnz_pam,库,工具,PAM authorization checker and PAM Basic Authentication provider,"mod_authnz_pam is a PAM authorization module, supplementing
authentication done by other modules, for example mod_auth_kerb; it
can also be used as full Basic Authentication provider which runs the
[login, password] authentication through the PAM stack.",库,
mod_fcgid,库,服务,FastCGI interface module for Apache 2,"mod_fcgid is a binary-compatible alternative to the Apache module mod_fastcgi.
mod_fcgid has a new process management strategy, which concentrates on reducing
the number of fastcgi servers, and kicking out corrupt fastcgi servers as soon
as possible.",库,
mod_http2,库,服务,module implementing HTTP/2 for Apache 2,"The mod_h2 Apache httpd module implements the HTTP2 protocol (h2+h2c) on
top of libnghttp2 for httpd 2.4 servers.",库,
mod_md,库,工具,Certificate provisioning using ACME for the Apache HTTP Server,"This module manages common properties of domains for one or more
virtual hosts. Specifically it can use the ACME protocol to automate
certificate provisioning.  Certificates will be configured for managed
domains and their virtual hosts automatically, including at renewal.",库,
mod_security,库,工具,Security module for the Apache HTTP Server,"ModSecurity is an open source intrusion detection and prevention engine
for web applications. It operates embedded into the web server, acting
as a powerful umbrella - shielding web applications from attacks.",库,
mod_security-mlogc,库,工具,ModSecurity Audit Log Collector,This package contains the ModSecurity Audit Log Collector.,库,
modello-javadoc,工具,库,Javadoc for modello,API documentation for modello.,库,
ModemManager,库,服务,Mobile broadband modem management service,"The ModemManager service manages WWAN modems and provides a consistent API for
interacting with these devices to client applications.",服务,service
mokutil,工具,服务,Tool to manage UEFI Secure Boot MoK Keys,"mokutil provides a tool to manage keys for Secure Boot through the MoK
(""Machine's Own Keys"") mechanism.",工具,tool
motif,工具,库,Run-time libraries and programs,"This is the Motif 2.3.4 run-time environment. It includes the
Motif shared libraries, needed to run applications which are dynamically
linked against Motif and the Motif Window Manager mwm.",工具,窗口管理器，有程序有库
motif-static,工具,库,Static libraries,This package contains the static Motif libraries.,库,libraries
mozilla-filesystem,库,其它,Mozilla filesytem layout,"This package provides some directories required by packages which use
Mozilla technologies such as native messaging extensions.",库,目录结构
mozvoikko,工具,库,Finnish Voikko spell-checker extension for Mozilla programs,"This is mozvoikko, an extension for Mozilla programs for using the Finnish
spell-checker Voikko.",工具,拼写检查
mpv,工具,库,Movie player playing most video formats and DVDs,"Mpv is a movie player based on MPlayer and mplayer2. It supports a wide variety
of video file formats, audio and video codecs, and subtitle types. Special
input URL types are available to read input from a variety of sources other
than disk files. Depending on platform, a variety of different video and audio
output methods are supported.",工具,
mrtg,工具,服务,Multi Router Traffic Grapher,"The Multi Router Traffic Grapher (MRTG) is a tool to monitor the traffic
load on network-links. MRTG generates HTML pages containing PNG
images which provide a LIVE visual representation of this traffic.",工具,tool
mtr-gtk,库,工具,GTK+ interface for MTR,"MTR combines the functionality of the 'traceroute' and 'ping' programs
in a single network diagnostic tool. The mtr-gtk package provides the
GTK+ interface for MTR.

When MTR is started, it investigates the network connection between the
host MTR runs on and the user-specified destination host. Afterwards it
determines the address of each network hop between the machines and sends
a sequence of ICMP echo requests to each one to determine the quality of
the link to each machine. While doing this, it prints running statistics
about each machine.",库,GTK+
mt-st,工具,服务,Tool for controlling tape drives,"The mt-st package contains the mt and st tape drive management
programs. Mt (for magnetic tape drives) and st (for SCSI tape devices)
can control rewinding, ejecting, skipping files and blocks and more.

Install mt-st if you need a tool to  manage tape drives.",工具,tool
mtx,工具,库,SCSI media changer control program,"The MTX program controls the robotic mechanism in autoloaders and tape
libraries such as the HP SureStore DAT 40x6, Exabyte EZ-17, and
Exabyte 220. This program is also reported to work with a variety of
other tape libraries and autochangers from ADIC, Tandberg/Overland,
Breece Hill, HP, and Seagate.

If you have a backup tape device capable of handling more than one
tape at a time, you should install MTX.",工具,program
multilib-rpm-config,工具,服务,Multilib packaging helpers,"Set of tools (shell scripts, RPM macro files) to help with multilib packaging
issues.",工具,tools
munge,工具,服务,Enables uid & gid authentication across a host cluster,"MUNGE (MUNGE Uid 'N' Gid Emporium) is an authentication service for creating
and validating credentials. It is designed to be highly scalable for use
in an HPC cluster environment.
It allows a process to authenticate the UID and GID of another local or
remote process within a group of hosts having common users and groups.
These hosts form a security realm that is defined by a shared cryptographic
key. Clients within this security realm can create and validate credentials
without the use of root privileges, reserved ports, or platform-specific
methods.",服务,包含服务和工具。description还有service，归类为服务
munge-maven-plugin-javadoc,工具,库,API documentation for munge-maven-plugin,This package provides API documentation for munge-maven-plugin.,库,
mutt,工具,库,A text mode mail user agent,"Mutt is a small but very powerful text-based MIME mail client.  Mutt
is highly configurable, and is well suited to the mail power user with
advanced features like key bindings, keyboard macros, mail threading,
regular expression searches and a powerful pattern matching language
for selecting groups of messages.",工具,邮件客户端
mutter,服务,库,Window and compositing manager based on Clutter,"Mutter is a window and compositing manager that displays and manages
your desktop via OpenGL. Mutter combines a sophisticated display engine
using the Clutter toolkit with solid window-management logic inherited
from the Metacity window manager.

While Mutter can be used stand-alone, it is primarily intended to be
used as the display core of a larger system such as GNOME Shell. For
this reason, Mutter is very extensible via plugins, which are used both
to add fancy visual effects and to rework the window management
behaviors to meet the needs of the environment.",服务,窗口管理器，建议作为服务，有manager关键字
mysql,服务,工具,MySQL client programs and shared libraries,"MySQL is a multi-user, multi-threaded SQL database server. MySQL is a
client/server implementation consisting of a server daemon (mysqld)
and many different client programs and libraries. The base package
contains the standard MySQL client programs and generic MySQL files.",工具,MySQL数据库
mysql-common,服务,工具,The shared files required for MySQL server and client,"The mysql-common package provides the essential shared files for any
MySQL program. You will need to install this package to use any other
MySQL package.",工具,
mysql-libs,库,工具,The shared libraries required for MySQL clients,"The mysql-libs package provides the essential shared libraries for any
MySQL client program or interface. You will need to install this package
to use any other MySQL package or any clients that need to connect to a
MySQL server.",库,#NAME?
nasm,工具,库,A portable x86 assembler which uses Intel-like syntax,"NASM is the Netwide Assembler, a free portable assembler for the Intel
80x86 microprocessor series, using primarily the traditional Intel
instruction mnemonics and syntax.",工具,
nautilus,工具,服务,File manager for GNOME,"Nautilus is the file manager and graphical shell for the GNOME desktop
that makes it easy to manage your files and the rest of your system.
It allows to browse directories on local and remote filesystems, preview
files and launch applications associated with them.
It is also responsible for handling the icons on the GNOME desktop.",桌面/工具,
nautilus-extensions,工具,库,Nautilus extensions library,This package provides the libraries used by nautilus extensions.,桌面/工具,
nbdkit-curl-plugin,工具,服务,HTTP/FTP (cURL) plugin for nbdkit,This package contains cURL (HTTP/FTP) support for nbdkit.,库,
ncompress,工具,库,Fast compression and decompression utilities,"The ncompress package contains the compress and uncompress file
compression and decompression utilities, which are compatible with the
original UNIX compress utility (.Z file extensions).  These utilities
can't handle gzipped (.gz file extensions) files, but gzip can handle
compressed files.

Install ncompress if you need compression/decompression utilities
which are compatible with the original UNIX compress utility.",工具,utilities
ncurses,库,工具,Ncurses support utilities,"The curses library routines are a terminal-independent method of
updating character screens with reasonable optimization.  The ncurses
(new curses) library is a freely distributable replacement for the
discontinued 4.4 BSD classic curses library.

This package contains support utilities, including a terminfo compiler
tic, a decompiler infocmp, clear, tput, tset, and a termcap conversion
tool captoinfo.",工具,utilities
ncurses-base,库,其它,Descriptions of common terminals,"This package contains descriptions of common terminals. Other terminal
descriptions are included in the ncurses-term package.",库,
ncurses-libs,库,工具,Ncurses libraries,"The curses library routines are a terminal-independent method of
updating character screens with reasonable optimization.  The ncurses
(new curses) library is a freely distributable replacement for the
discontinued 4.4 BSD classic curses library.

This package contains the ncurses libraries.",库,libraries
