name,layer_true,layer_pred,summary,description
mallard-rng,应用,系统,RELAX NG schemas for all Mallard versions,"RELAX NG schemas for all Mallard versions and extensions that have been marked
final."
man-db-cron,应用,核心,Periodic update of man-db cache,This package provides periodic update of man-db cache.
mariadb,应用,系统,A very fast and robust SQL database server,"MariaDB is a community developed branch of MySQL - a multi-user, multi-threaded
SQL database server. It is a client/server implementation consisting of
a server daemon (mysqld) and many different client programs and libraries.
The base package contains the standard MariaDB/MySQL client programs and
generic MySQL files."
mariadb-server-galera,应用,核心,The configuration files and scripts for galera replication,"MariaDB is a multi-user, multi-threaded SQL database server. It is a
client/server implementation consisting of a server daemon (mysqld)
and many different client programs and libraries. This package contains
the MariaDB server and some accompanying files and directories.
MariaDB is a community developed branch of MySQL."
mariadb-server-utils,应用,系统,Non-essential server utilities for MariaDB/MySQL applications,"This package contains all non-essential server utilities and scripts for
managing databases. It also contains all utilities requiring Perl and it is
the only MariaDB sub-package, except test subpackage, that depends on Perl."
mariadb-connector-c,应用,系统,The MariaDB Native Client library (C driver),"The MariaDB Native Client library (C driver) is used to connect applications
developed in C/C++ to MariaDB and MySQL databases."
mariadb-connector-c-config,应用,其它,Configuration files for packages that use /etc/my.cnf as a configuration file,"This package delivers /etc/my.cnf that includes other configuration files
from the /etc/my.cnf.d directory and ships this directory as well.
Other packages should only put their files into /etc/my.cnf.d directory
and require this package, so the /etc/my.cnf file is present."
mc,应用,系统,User-friendly text console file manager and visual shell,"Midnight Commander is a visual shell much like a file manager, only with
many more features. It is a text mode application, but it also includes
mouse support. Midnight Commander's best features are its ability to FTP,
view tar and zip files, and to poke into RPMs for specific files."
mcstrans,应用,核心,SELinux Translation Daemon,"Security-enhanced Linux is a feature of the Linux庐 kernel and a number
of utilities with enhanced security functionality designed to add
mandatory access controls to Linux.  The Security-enhanced Linux
kernel contains new architectural components originally developed to
improve the security of the Flask operating system. These
architectural components provide general support for the enforcement
of many kinds of mandatory access control policies, including those
based on the concepts of Type Enforcement庐, Role-based Access
Control, and Multi-level Security.

mcstrans provides an translation daemon to translate SELinux categories
from internal representations to user defined representation."
mecab-ipadic,应用,其它,IPA dictionary for MeCab,"MeCab IPA is a dictionary for MeCab using CRF estimation
based on IPA corpus.
This dictionary is for UTF-8 use."
mecab-ipadic-EUCJP,应用,其它,IPA dictionary for Mecab with encoded by EUC-JP,"
MeCab IPA is a dictionary for MeCab using CRF estimation
based on IPA corpus.
This dictionary is for EUC-JP use."
memcached,应用,系统,"High Performance, Distributed Memory Object Cache","memcached is a high-performance, distributed memory object caching
system, generic in nature, but intended for use in speeding up dynamic
web applications by alleviating database load."
memkind,应用,系统,User Extensible Heap Manager,"The memkind library is an user extensible heap manager built on top of
jemalloc which enables control of memory characteristics and a
partitioning of the heap between kinds of memory.  The kinds of memory
are defined by operating system memory policies that have been applied
to virtual address ranges. Memory characteristics supported by
memkind without user extension include control of NUMA and page size
features. The jemalloc non-standard interface has been extended to
enable specialized arenas to make requests for virtual memory from the
operating system through the memkind partition interface. Through the
other memkind interfaces the user can control and extend memory
partition features and allocate memory while selecting enabled
features. This software is being made available for early evaluation.
Feedback on design or implementation is greatly appreciated."
memstrack,应用,系统,"A memory allocation tracer, like a hot spot analyzer for memory allocation","A memory allocation tracer, like a hot spot analyzer for memory allocation"
memtest86+,应用,核心,Stand-alone memory tester for x86 and x86-64 computers,"Memtest86+ is a thorough stand-alone memory test for x86 and x86-64
architecture computers. BIOS based memory tests are only a quick
check and often miss many of the failures that are detected by
Memtest86+.

The ELF version should be used for booting from grub,
and avoids the following errors:
""Error 7: Loading below 1MB is not supported""
""Error 13: Invalid or unsupported executable format""
""Error 28: Selected item cannot fit into memory""

The script '/usr/sbin/memtest-setup' can be run (as root)
to add the memtest86+ entry to your GRUB boot menu."
mercurial,应用,系统,Mercurial -- a distributed SCM,"Mercurial is a fast, lightweight source control management system designed
for efficient handling of very large distributed projects.

Quick start: http://www.selenic.com/mercurial/wiki/index.cgi/QuickStart
Tutorial: http://www.selenic.com/mercurial/wiki/index.cgi/Tutorial
Extensions: http://www.selenic.com/mercurial/wiki/index.cgi/CategoryExtension"
mesa-dri-drivers,应用,核心,Mesa-based DRI drivers,Mesa-based DRI drivers.
mesa-libglapi,应用,核心,Mesa shared glapi,Mesa shared glapi.
mesa-libxatracker,应用,系统,Mesa XA state tracker,Mesa XA state tracker.
glx-utils,应用,核心,GLX utilities,The glx-utils package provides the glxinfo and glxgears utilities.
meson,应用,系统,High productivity build system,"Meson is a build system designed to optimize programmer
productivity. It aims to do this by providing simple, out-of-the-box
support for modern software development tools and practices, such as
unit tests, coverage reports, Valgrind, CCache and the like."
microdnf,系统,应用,Lightweight implementation of DNF in C,"Micro DNF is a lightweight C implementation of DNF, designed to be used
for doing simple packaging actions when you don't need full-blown DNF and
you want the tiniest useful environments possible.

That is, you don't want any interpreter stack and you want the most
minimal environment possible so you can build up to exactly what you need."
micropipenv,应用,系统,A simple wrapper around pip to support Pipenv and Poetry files,"A lightweight wrapper for pip to support Pipenv and Poetry lock files or
converting them to pip-tools compatible output."
mingw-filesystem-base,应用,其它,Generic files which are needed for both mingw32-filesystem and mingw64-filesystem,"This package contains the base filesystem layout, RPM macros and
environment for all MinGW packages."
minicom,应用,系统,A text-based modem control and terminal emulation program,"Minicom is a simple text-based modem control and terminal emulation
program somewhat similar to MSDOS Telix. Minicom includes a dialing
directory, full ANSI and VT100 emulation, an (external) scripting
language, and other features."
minizip,应用,系统,Minizip contrib in zlib with the latest bug fixes and advanced features,"Minizip zlib contribution that includes:
* AES encryption
* I/O buffering
* PKWARE disk splitting
It also has the latest bug fixes that having been found all over the internet."
minizip1.2,应用,系统,Library for manipulation with .zip archives,"Minizip is a library for manipulation with files from .zip archives.
This package contains the old minizip API, as bundled with zlib."
mksh,应用,系统,MirBSD enhanced version of the Korn Shell,"mksh is the MirBSD enhanced version of the Public Domain Korn shell (pdksh),
a bourne-compatible shell which is largely similar to the original AT&T Korn
shell. It includes bug fixes and feature improvements in order to produce a
modern, robust shell good for interactive and especially script use, being a
bourne shell replacement, pdksh successor and an alternative to the C shell."
mlocate,应用,系统,An utility for finding files by name,"mlocate is a locate/updatedb implementation.  It keeps a database of
all existing files and allows you to lookup files by name.

The 'm' stands for ""merging"": updatedb reuses the existing database to avoid
rereading most of the file system, which makes updatedb faster and does not
trash the system caches as much as traditional locate implementations."
mobile-broadband-provider-info,应用,其它,Mobile broadband provider database,"The mobile-broadband-provider-info package contains listings of mobile
broadband (3G) providers and associated network and plan information."
mod_auth_mellon,应用,系统,A SAML 2.0 authentication module for the Apache Httpd Server,"The mod_auth_mellon module is an authentication service that implements the
SAML 2.0 federation protocol. It grants access based on the attributes
received in assertions generated by a IdP server."
mod_fcgid,应用,系统,FastCGI interface module for Apache 2,"mod_fcgid is a binary-compatible alternative to the Apache module mod_fastcgi.
mod_fcgid has a new process management strategy, which concentrates on reducing
the number of fastcgi servers, and kicking out corrupt fastcgi servers as soon
as possible."
mod_md,应用,系统,Certificate provisioning using ACME for the Apache HTTP Server,"This module manages common properties of domains for one or more
virtual hosts. Specifically it can use the ACME protocol to automate
certificate provisioning.  Certificates will be configured for managed
domains and their virtual hosts automatically, including at renewal."
mod_security-mlogc,应用,系统,ModSecurity Audit Log Collector,This package contains the ModSecurity Audit Log Collector.
python3-mod_wsgi,应用,系统,A WSGI interface for Python web applications in Apache,"The mod_wsgi adapter is an Apache module that provides a WSGI compliant
interface for hosting Python based web applications within Apache. The
adapter is written completely in C code against the Apache C runtime and
for hosting WSGI applications within Apache has a lower overhead than using
existing WSGI adapters for mod_python or CGI."
python38-mod_wsgi,应用,系统,A WSGI interface for Python web applications in Apache,"The mod_wsgi adapter is an Apache module that provides a WSGI compliant
interface for hosting Python based web applications within Apache. The
adapter is written completely in C code against the Apache C runtime and
for hosting WSGI applications within Apache has a lower overhead than using
existing WSGI adapters for mod_python or CGI.

Only one Python 3 version of mod_wsgi can be loaded at the same time in httpd,
therefore this package conflicts with the other versions available."
python39-mod_wsgi,应用,系统,A WSGI interface for Python web applications in Apache,"The mod_wsgi adapter is an Apache module that provides a WSGI compliant
interface for hosting Python based web applications within Apache. The
adapter is written completely in C code against the Apache C runtime and
for hosting WSGI applications within Apache has a lower overhead than using
existing WSGI adapters for mod_python or CGI.

Only one Python 3 version of mod_wsgi can be loaded at the same time in httpd,
therefore this package conflicts with the other versions available."
ModemManager,应用,系统,Mobile broadband modem management service,"The ModemManager service manages WWAN modems and provides a consistent API for
interacting with these devices to client applications."
ModemManager-glib,应用,系统,Libraries for adding ModemManager support to applications that use glib.,"This package contains the libraries that make it easier to use some ModemManager
functionality from applications that use glib."
modulemd-tools,系统,应用,Collection of tools for parsing and generating modulemd YAML files,"Tools provided by this package:

repo2module - Takes a YUM repository on its input and creates modules.yaml
    containing YAML module definitions generated for each package.

dir2module - Generates a module YAML definition based on essential module
    information provided via command-line parameters. The packages provided by
    the module are found in a specified directory or a text file containing
    their list.

createrepo_mod - A small wrapper around createrepo_c and modifyrepo_c to provide
    an easy tool for generating module repositories.

modulemd-merge - Merge several modules.yaml files into one. This is useful for
    example if you have several yum repositories and want to merge them into one.

modulemd-generate-macros - Generate module-build-macros SRPM package, which is
    a central piece for building modules. It should be present in the buildroot
    before any other module packages are submitted to be built.

bld2repo - Simple tool for dowloading build required RPMs of a modular build from koji."
motif-static,应用,核心,Static libraries,This package contains the static Motif libraries.
mpg123,应用,系统,"Real time MPEG 1.0/2.0/2.5 audio player/decoder for layers 1, 2 and 3","Real time MPEG 1.0/2.0/2.5 audio player/decoder for layers 1, 2 and 3 (most
commonly MPEG 1.0 layer 3 aka MP3), as well as re-usable decoding and output
libraries."
python3-mpich,应用,系统,mpich support for Python 3,mpich support for Python 3.
mrtg,应用,系统,Multi Router Traffic Grapher,"The Multi Router Traffic Grapher (MRTG) is a tool to monitor the traffic
load on network-links. MRTG generates HTML pages containing PNG
images which provide a LIVE visual representation of this traffic."
mstflint,系统,核心,Mellanox firmware burning tool,"This package contains firmware update tool, vpd dump and register dump tools
for network adapters based on Mellanox Technologies chips."
mtdev,系统,应用,Multitouch Protocol Translation Library,"mtdev is a stand-alone library which transforms all variants of kernel MT
events to the slotted type B protocol. The events put into mtdev may be from
any MT device, specifically type A without contact tracking, type A with
contact tracking, or type B with contact tracking."
mtools,系统,核心,Programs for accessing MS-DOS disks without mounting the disks,"Mtools is a collection of utilities for accessing MS-DOS files.
Mtools allow you to read, write and move around MS-DOS filesystem
files (normally on MS-DOS floppy disks).  Mtools supports Windows95
style long file names, OS/2 XDF disks, and 2m disks

Mtools should be installed if you need to use MS-DOS disks"
mtr,应用,核心,Network diagnostic tool combining 'traceroute' and 'ping',"MTR combines the functionality of the 'traceroute' and 'ping' programs
in a single network diagnostic tool.

When MTR is started, it investigates the network connection between the
host MTR runs on and the user-specified destination host. Afterwards it
determines the address of each network hop between the machines and sends
a sequence of ICMP echo requests to each one to determine the quality of
the link to each machine. While doing this, it prints running statistics
about each machine.

MTR provides two user interfaces: an ncurses interface, useful for the
command line, e.g. for SSH sessions; and a GTK+ interface for X (provided
in the mtr-gtk package)."
mtr-gtk,应用,系统,GTK+ interface for MTR,"MTR combines the functionality of the 'traceroute' and 'ping' programs
in a single network diagnostic tool. The mtr-gtk package provides the
GTK+ interface for MTR.

When MTR is started, it investigates the network connection between the
host MTR runs on and the user-specified destination host. Afterwards it
determines the address of each network hop between the machines and sends
a sequence of ICMP echo requests to each one to determine the quality of
the link to each machine. While doing this, it prints running statistics
about each machine."
mt-st,应用,系统,Tool for controlling tape drives,"The mt-st package contains the mt and st tape drive management
programs. Mt (for magnetic tape drives) and st (for SCSI tape devices)
can control rewinding, ejecting, skipping files and blocks and more.

Install mt-st if you need a tool to  manage tape drives."
multilib-rpm-config,应用,核心,Multilib packaging helpers,"Set of tools (shell scripts, RPM macro files) to help with multilib packaging
issues."
munge,应用,系统,Enables uid & gid authentication across a host cluster,"MUNGE (MUNGE Uid 'N' Gid Emporium) is an authentication service for creating
and validating credentials. It is designed to be highly scalable for use
in an HPC cluster environment.
It allows a process to authenticate the UID and GID of another local or
remote process within a group of hosts having common users and groups.
These hosts form a security realm that is defined by a shared cryptographic
key. Clients within this security realm can create and validate credentials
without the use of root privileges, reserved ports, or platform-specific
methods."
mvapich2,应用,系统,OSU MVAPICH2 MPI package,"MVAPICH2 is a Message Passing Interface (MPI 3.0) implementation based on MPICH
and developed by Ohio State University."
mvapich2-psm2,应用,系统,OSU MVAPICH2 MPI package 2.3 for Omni-Path adapters,"MVAPICH2 is a Message Passing Interface (MPI 3.0) implementation based on MPICH
and developed by Ohio State University.

This is a version of mvapich2 2.3 that uses the PSM2 transport for Omni-Path
adapters."
mysql,应用,核心,MySQL client programs and shared libraries,"MySQL is a multi-user, multi-threaded SQL database server. MySQL is a
client/server implementation consisting of a server daemon (mysqld)
and many different client programs and libraries. The base package
contains the standard MySQL client programs and generic MySQL files."
mysql-common,应用,系统,The shared files required for MySQL server and client,"The mysql-common package provides the essential shared files for any
MySQL program. You will need to install this package to use any other
MySQL package."
mysql-server,应用,系统,The MySQL server and related files,"MySQL is a multi-user, multi-threaded SQL database server. MySQL is a
client/server implementation consisting of a server daemon (mysqld)
and many different client programs and libraries. This package contains
the MySQL server and some accompanying files and directories."
mysql-selinux,应用,系统,SELinux policy modules for MySQL and MariaDB packages,SELinux policy modules for MySQL and MariaDB packages.
nano,应用,系统,A small text editor,GNU nano is a small and friendly text editor.
nasm,应用,系统,A portable x86 assembler which uses Intel-like syntax,"NASM is the Netwide Assembler, a free portable assembler for the Intel
80x86 microprocessor series, using primarily the traditional Intel
instruction mnemonics and syntax."
nautilus,应用,核心,File manager for GNOME,"Nautilus is the file manager and graphical shell for the GNOME desktop
that makes it easy to manage your files and the rest of your system.
It allows to browse directories on local and remote filesystems, preview
files and launch applications associated with them.
It is also responsible for handling the icons on the GNOME desktop."
nbdkit,系统,应用,NBD server,"NBD is a protocol for accessing block devices (hard disks and
disk-like things) over the network.

nbdkit is a toolkit for creating NBD servers.

The key features are:

* Multithreaded NBD server written in C with good performance.

* Minimal dependencies for the basic server.

* Liberal license (BSD) allows nbdkit to be linked to proprietary
  libraries or included in proprietary code.

* Well-documented, simple plugin API with a stable ABI guarantee.
  Lets you to export ""unconventional"" block devices easily.

* You can write plugins in C or many other languages.

* Filters can be stacked in front of plugins to transform the output.

'nbdkit' is a meta-package which pulls in the core server and a
useful subset of plugins and filters with minimal dependencies.

If you want just the server, install 'nbdkit-server'.

To develop plugins, install the 'nbdkit-devel' package and start by
reading the nbdkit(1) and nbdkit-plugin(3) manual pages."
nbdkit-bash-completion,系统,应用,Bash tab-completion for nbdkit,"Install this package if you want intelligent bash tab-completion
for nbdkit."
nbdkit-basic-plugins,系统,应用,Basic plugins for nbdkit,"This package contains plugins for nbdkit which only depend on simple
C libraries: glibc, gnutls, libzstd.  Other plugins for nbdkit with
more complex dependencies are packaged separately.

nbdkit-data-plugin          Serve small amounts of data from the command line.

nbdkit-eval-plugin          Write a shell script plugin on the command line.

nbdkit-file-plugin          The normal file plugin for serving files.

nbdkit-floppy-plugin        Create a virtual floppy disk from a directory.

nbdkit-full-plugin          A virtual disk that returns ENOSPC errors.

nbdkit-info-plugin          Serve client and server information.

nbdkit-memory-plugin        A virtual memory plugin.

nbdkit-null-plugin          A null (bitbucket) plugin.

nbdkit-ondemand-plugin      Create filesystems on demand.

nbdkit-pattern-plugin       Fixed test pattern.

nbdkit-partitioning-plugin  Create virtual disks from partitions.

nbdkit-random-plugin        Random content plugin for testing.

nbdkit-sh-plugin            Write plugins as shell scripts or executables.

nbdkit-sparse-random-plugin Make sparse random disks.

nbdkit-split-plugin         Concatenate one or more files.

nbdkit-streaming-plugin     A streaming file serving plugin.

nbdkit-zero-plugin          Zero-length plugin for testing."
nbdkit-nbd-plugin,系统,应用,NBD proxy / forward plugin for nbdkit,"This package lets you forward NBD connections from nbdkit
to another NBD server."
nbdkit-server,系统,核心,The nbdkit server,This package contains the nbdkit server with no plugins or filters.
ncompress,应用,系统,Fast compression and decompression utilities,"The ncompress package contains the compress and uncompress file
compression and decompression utilities, which are compatible with the
original UNIX compress utility (.Z file extensions).  These utilities
can't handle gzipped (.gz file extensions) files, but gzip can handle
compressed files.

Install ncompress if you need compression/decompression utilities
which are compatible with the original UNIX compress utility."
ncurses,系统,应用,Ncurses support utilities,"The curses library routines are a terminal-independent method of
updating character screens with reasonable optimization.  The ncurses
(new curses) library is a freely distributable replacement for the
discontinued 4.4 BSD classic curses library.

This package contains support utilities, including a terminfo compiler
tic, a decompiler infocmp, clear, tput, tset, and a termcap conversion
tool captoinfo."
ncurses-base,系统,其它,Descriptions of common terminals,"This package contains descriptions of common terminals. Other terminal
descriptions are included in the ncurses-term package."
ncurses-c++-libs,系统,应用,Ncurses C++ bindings,"The curses library routines are a terminal-independent method of
updating character screens with reasonable optimization.  The ncurses
(new curses) library is a freely distributable replacement for the
discontinued 4.4 BSD classic curses library.

This package contains C++ bindings of the ncurses ABI version 6 libraries."
ncurses-compat-libs,系统,应用,Ncurses compatibility libraries,"The curses library routines are a terminal-independent method of
updating character screens with reasonable optimization.  The ncurses
(new curses) library is a freely distributable replacement for the
discontinued 4.4 BSD classic curses library.

This package contains the ABI version 5 of the ncurses libraries for
compatibility."
ncurses-term,系统,核心,Terminal descriptions,"This package contains additional terminal descriptions not found in
the ncurses-base package."
daxctl-libs,系统,核心,"Management library for ""Device DAX"" devices","Device DAX is a facility for establishing DAX mappings of performance /
feature-differentiated memory. daxctl-libs provides an enumeration /
control API for these devices."
ndctl-libs,系统,核心,"Management library for ""libnvdimm"" subsystem devices (Non-volatile Memory)",Libraries for ndctl.
nerdctl,应用,系统,Docker-compatible CLI for containerd,nerdctl is a Docker-compatible CLI for containerd.
netpbm,应用,系统,A library for handling different graphics file formats,"The netpbm package contains a library of functions which support
programs for handling various graphics file formats, including .pbm
(portable bitmaps), .pgm (portable graymaps), .pnm (portable anymaps),
.ppm (portable pixmaps) and others."
netpbm-progs,应用,系统,Tools for manipulating graphics files in netpbm supported formats,"The netpbm-progs package contains a group of scripts for manipulating the
graphics files in formats which are supported by the netpbm libraries.  For
example, netpbm-progs includes the rasttopnm script, which will convert a
Sun rasterfile into a portable anymap.  Netpbm-progs contains many other
scripts for converting from one graphics file format to another.

If you need to use these conversion scripts, you should install
netpbm-progs.  You'll also need to install the netpbm package."
net-snmp-agent-libs,应用,系统,The NET-SNMP runtime agent libraries,"The net-snmp-agent-libs package contains the runtime agent libraries for shared
binaries and applications."
net-snmp-libs,应用,系统,The NET-SNMP runtime client libraries,"The net-snmp-libs package contains the runtime client libraries for shared
binaries and applications."
net-snmp-perl,应用,系统,The perl NET-SNMP module and the mib2c tool,"The net-snmp-perl package contains the perl files to use SNMP from within
Perl.

Install the net-snmp-perl package, if you want to use mib2c or SNMP
with perl."
net-snmp-utils,应用,系统,"Network management utilities using SNMP, from the NET-SNMP project","The net-snmp-utils package contains various utilities for use with the
NET-SNMP network management project.

Install this package if you need utilities for managing your network
using the SNMP protocol. You will also need to install the net-snmp
package."
net-tools,系统,核心,Basic networking tools,"The net-tools package contains basic networking tools,
including ifconfig, netstat, route, and others.
Most of them are obsolete. For replacement check iproute package."
NetworkManager,系统,核心,Network connection manager and user applications,"NetworkManager is a system service that manages network interfaces and
connections based on user or automatic configuration. It supports
Ethernet, Bridge, Bond, VLAN, Team, InfiniBand, Wi-Fi, mobile broadband
(WWAN), PPPoE and other devices, and supports a variety of different VPN
services."
NetworkManager-bluetooth,系统,应用,Bluetooth device plugin for NetworkManager,This package contains NetworkManager support for Bluetooth devices.
NetworkManager-cloud-setup,系统,应用,Automatically configure NetworkManager in cloud,"Installs a nm-cloud-setup tool that can automatically configure
NetworkManager in cloud setups. Currently only EC2 is supported.
This tool is still experimental."
NetworkManager-dispatcher-routing-rules,系统,其它,NetworkManager dispatcher file for advanced routing rules,"This adds a NetworkManager dispatcher file to support networking
configurations using ""/etc/sysconfig/network-scripts/rule-NAME"" files
(eg, to do policy-based routing)."
NetworkManager-initscripts-updown,系统,核心,Legacy ifup/ifdown scripts for NetworkManager that replace initscripts (network-scripts),"Installs alternative ifup/ifdown scripts that talk to NetworkManager.
This is only for backward compatibility with initscripts (network-scripts).
Preferably use nmcli instead."
NetworkManager-libnm,系统,应用,Libraries for adding NetworkManager support to applications.,"This package contains the libraries that make it easier to use some
NetworkManager functionality from applications."
NetworkManager-tui,其它,系统,NetworkManager curses-based UI,"This adds a curses-based ""TUI"" (Text User Interface) to
NetworkManager, to allow performing some of the operations supported
by nm-connection-editor and nm-applet in a non-graphical environment."
network-manager-applet,系统,应用,A network control and status applet for NetworkManager,"This package contains a network control and status notification area applet
for use with NetworkManager."
nm-connection-editor,系统,核心,A network connection configuration editor for NetworkManager,"This package contains a network configuration editor and Bluetooth modem
utility for use with NetworkManager."
NetworkManager-libreswan-gnome,系统,应用,NetworkManager VPN plugin for libreswan - GNOME files,"This package contains software for integrating VPN capabilities with
the libreswan server with NetworkManager (GNOME files)."
newt,应用,系统,A library for text mode user interfaces,"Newt is a programming library for color text mode, widget based user
interfaces.  Newt can be used to add stacked windows, entry widgets,
checkboxes, radio buttons, labels, plain text fields, scrollbars,
etc., to text mode user interfaces.  This package also contains the
shared library needed by programs built with newt, as well as a
/usr/bin/dialog replacement called whiptail.  Newt is based on the
slang library."
python3-newt,应用,系统,Python 3 bindings for newt,"The python3-newt package contains the Python 3 bindings for the newt library
providing a python API for creating text mode interfaces."
nfs4-acl-tools,系统,核心,The nfs4 ACL tools,"This package contains commandline ACL utilities for the Linux
NFSv4 client."
nghttp2,应用,系统,"Experimental HTTP/2 client, server and proxy","This package contains the HTTP/2 client, server and proxy programs."
nginx,应用,系统,A high performance web server and reverse proxy server,"Nginx is a web server and a reverse proxy server for HTTP, SMTP, POP3 and
IMAP protocols, with a strong focus on high concurrency, performance and low
memory usage."
nginx-all-modules,应用,核心,A meta package that installs all available Nginx modules,A meta package that installs all available Nginx modules.
nginx-filesystem,应用,其它,The basic directory layout for the Nginx server,"The nginx-filesystem package contains the basic directory layout
for the Nginx server including the correct permissions for the
directories."
nginx-mod-http-image-filter,应用,核心,Nginx HTTP image filter module,Nginx HTTP image filter module.
nginx-mod-http-perl,应用,系统,Nginx HTTP perl module,Nginx HTTP perl module.
nginx-mod-http-xslt-filter,应用,系统,Nginx XSLT module,Nginx XSLT module.
nginx-mod-mail,应用,核心,Nginx mail modules,Nginx mail modules.
nginx-mod-stream,应用,核心,Nginx stream modules,Nginx stream modules.
nispor,应用,系统,API for network status querying,Unified interface for Linux network state querying.
python3-nispor,应用,系统,API for network status querying,"
This package contains python3 binding of nispor."
perl-NKF,应用,系统,Perl extension for Network Kanji Filter,"This is a Perl Extension version of nkf (Network Kanji Filter).
It converts the last argument and return converted result.
Conversion details are specified by flags before the last argument."
nmap,系统,应用,Network exploration tool and security scanner,"Nmap is a utility for network exploration or security auditing.  It supports
ping scanning (determine which hosts are up), many port scanning techniques
(determine what services the hosts are offering), and TCP/IP fingerprinting
(remote host operating system identification). Nmap also offers flexible target
and port specification, decoy scanning, determination of TCP sequence
predictability characteristics, reverse-identd scanning, and more. In addition
to the classic command-line nmap executable, the Nmap suite includes a flexible
data transfer, redirection, and debugging tool (netcat utility ncat), a utility
for comparing scan results (ndiff), and a packet generation and response
analysis tool (nping)."
nodejs,应用,核心,JavaScript runtime,"Node.js is a platform built on Chrome's JavaScript runtime
for easily building fast, scalable network applications.
Node.js uses an event-driven, non-blocking I/O model that
makes it lightweight and efficient, perfect for data-intensive
real-time applications that run across distributed devices."
npm,应用,核心,Node.js Package Manager,"npm is a package manager for node.js. You can use it to install and publish
your node programs. It manages dependencies and does other cool stuff."
nodejs-packaging,应用,系统,RPM Macros and Utilities for Node.js Packaging,"This package contains RPM macros and other utilities useful for packaging
Node.js modules and applications in RPM-based distributions."
nss,系统,核心,Network Security Services,"Network Security Services (NSS) is a set of libraries designed to
support cross-platform development of security-enabled client and
server applications. Applications built with NSS can support SSL v2
and v3, TLS, PKCS #5, PKCS #7, PKCS #11, PKCS #12, S/MIME, X.509
v3 certificates, and other security standards."
nss-sysinit,系统,核心,System NSS Initialization,"Default Operating System module that manages applications loading
NSS globally on the system. This module loads the system defined
PKCS #11 modules for NSS and chains with other NSS modules to load
any system or user configured modules."
nss-tools,系统,核心,Tools for the Network Security Services,"Network Security Services (NSS) is a set of libraries designed to
support cross-platform development of security-enabled client and
server applications. Applications built with NSS can support SSL v2
and v3, TLS, PKCS #5, PKCS #7, PKCS #11, PKCS #12, S/MIME, X.509
v3 certificates, and other security standards.

Install the nss-tools package if you need command-line tools to
manipulate the NSS certificate and key database."
nss-util,系统,核心,Network Security Services Utilities Library,Utilities for Network Security Services and the Softoken module
nss-altfiles,系统,核心,NSS module to look up users in /usr/lib/passwd too,"When installed, this package allows looking up users
in %{prefix}/lib/passwd, similarly, groups in %{prefix}/lib/group."
ntfs-3g-libs,系统,应用,Runtime libraries for ntfs-3g,Libraries for applications to use ntfs-3g functionality.
ntfsprogs,系统,应用,NTFS filesystem libraries and utilities,"The ntfsprogs package currently consists of a library and utilities such as
mkntfs, ntfscat, ntfsls, ntfsresize, and ntfsundelete (for a full list of
included utilities see man 8 ntfsprogs after installation)."
numatop,系统,应用,Memory access locality characterization and analysis,"NumaTOP is an observation tool for runtime memory locality characterization and
analysis of processes and threads running on a NUMA system. It helps the user
characterize the NUMA behavior of processes and threads and identify where the
NUMA-related performance bottlenecks reside.

NumaTOP supports the Intel Xeon processors and PowerPC processors."
python2-numpy,应用,系统,A fast multidimensional array facility for Python,"NumPy is a general-purpose array-processing package designed to
efficiently manipulate large multi-dimensional arrays of arbitrary
records without sacrificing too much speed for small multi-dimensional
arrays.  NumPy is built on the Numeric code base and adds features
introduced by numarray as well as an extended C-API and the ability to
create arrays of arbitrary type.

There are also basic facilities for discrete fourier transform,
basic linear algebra and random number generation. Also included in
this package is a version of f2py that works properly with NumPy."
python2-numpy-f2py,应用,系统,f2py for numpy,This package includes a version of f2py that works properly with NumPy.
python3-numpy,应用,系统,A fast multidimensional array facility for Python,"NumPy is a general-purpose array-processing package designed to
efficiently manipulate large multi-dimensional arrays of arbitrary
records without sacrificing too much speed for small multi-dimensional
arrays.  NumPy is built on the Numeric code base and adds features
introduced by numarray as well as an extended C-API and the ability to
create arrays of arbitrary type.

There are also basic facilities for discrete fourier transform,
basic linear algebra and random number generation. Also included in
this package is a version of f2py that works properly with NumPy."
python3-numpy-f2py,应用,系统,f2py for numpy,This package includes a version of f2py that works properly with NumPy.
python38-numpy,应用,系统,A fast multidimensional array facility for Python,"NumPy is a general-purpose array-processing package designed to
efficiently manipulate large multi-dimensional arrays of arbitrary
records without sacrificing too much speed for small multi-dimensional
arrays.  NumPy is built on the Numeric code base and adds features
introduced by numarray as well as an extended C-API and the ability to
create arrays of arbitrary type.

There are also basic facilities for discrete fourier transform,
basic linear algebra and random number generation. Also included in
this package is a version of f2py that works properly with NumPy."
python38-numpy-f2py,应用,系统,f2py for numpy,This package includes a version of f2py that works properly with NumPy.
python39-numpy,应用,系统,A fast multidimensional array facility for Python,"NumPy is a general-purpose array-processing package designed to
efficiently manipulate large multi-dimensional arrays of arbitrary
records without sacrificing too much speed for small multi-dimensional
arrays.  NumPy is built on the Numeric code base and adds features
introduced by numarray as well as an extended C-API and the ability to
create arrays of arbitrary type.

There are also basic facilities for discrete fourier transform,
basic linear algebra and random number generation. Also included in
this package is a version of f2py that works properly with NumPy."
python39-numpy-f2py,应用,系统,f2py for numpy,This package includes a version of f2py that works properly with NumPy.
