name,label,text,y,summary,description,y_predict
dde-qt5xcb-plugin,服务, Qt platform plugins for DDE  Qt platform plugins for DDE.,2, Qt platform plugins for DDE, Qt platform plugins for DDE.,2
mozjs60,库, SpiderMonkey JavaScript library  SpiderMonkey is the code-name for Mozilla Firefox's C++ implementation of  JavaScript. It is intended to be embedded in other applications  that provide host environments for JavaScript.,0, SpiderMonkey JavaScript library," SpiderMonkey is the code-name for Mozilla Firefox's C++ implementation of
JavaScript. It is intended to be embedded in other applications
that provide host environments for JavaScript.",0
php-cli,工具," Command-line interface for PHP  The php-cli package contains the command-line interface  executing PHP scripts, /usr/bin/php, and the CGI interface.",1, Command-line interface for PHP," The php-cli package contains the command-line interface
executing PHP scripts, /usr/bin/php, and the CGI interface.",0
patchutils,工具," A collection of programs for manipulating patch files  This is a collection of programs that can manipulate patch files in  a variety of ways, such as interpolating between two pre-patches,  combining two incremental patches, fixing line numbers in hand-edited  patches, and simply listing the files modified by a patch.",1, A collection of programs for manipulating patch files," This is a collection of programs that can manipulate patch files in
a variety of ways, such as interpolating between two pre-patches,
combining two incremental patches, fixing line numbers in hand-edited
patches, and simply listing the files modified by a patch.",1
mythes-hu,库, Hungarian thesaurus  Hungarian thesaurus.,0, Hungarian thesaurus, Hungarian thesaurus.,0
pcp-pmda-nginx,服务, Performance Co-Pilot (PCP) metrics for the Nginx Webserver  This package contains the PCP Performance Metrics Domain Agent (PMDA) for  collecting metrics about the Nginx Webserver.,2, Performance Co-Pilot (PCP) metrics for the Nginx Webserver," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting metrics about the Nginx Webserver.",2
eclipse-platform,工具, Eclipse platform common files  The Eclipse Platform is the base of all IDE plugins.  This does not include the  Java Development Tools or the Plugin Development Environment.,1, Eclipse platform common files," The Eclipse Platform is the base of all IDE plugins.  This does not include the
Java Development Tools or the Plugin Development Environment.",1
mod_md,库," Certificate provisioning using ACME for the Apache HTTP Server  This module manages common properties of domains for one or more  virtual hosts. Specifically it can use the ACME protocol to automate  certificate provisioning.  Certificates will be configured for managed  domains and their virtual hosts automatically, including at renewal.",0, Certificate provisioning using ACME for the Apache HTTP Server," This module manages common properties of domains for one or more
virtual hosts. Specifically it can use the ACME protocol to automate
certificate provisioning.  Certificates will be configured for managed
domains and their virtual hosts automatically, including at renewal.",0
pcp-pmda-news,服务, Performance Co-Pilot (PCP) metrics for Usenet News  This package contains the PCP Performance Metrics Domain Agent (PMDA) for  collecting metrics about Usenet News.,2, Performance Co-Pilot (PCP) metrics for Usenet News," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting metrics about Usenet News.",2
gcc-toolset-10-gcc,工具, GCC version 10  The gcc-toolset-10-gcc package contains the GNU Compiler Collection version 10.,1, GCC version 10, The gcc-toolset-10-gcc package contains the GNU Compiler Collection version 10.,1
sysfsutils,工具, Utilities for interfacing with sysfs  This package's purpose is to provide a set of utilities for interfacing  with sysfs.,1, Utilities for interfacing with sysfs," This package's purpose is to provide a set of utilities for interfacing
with sysfs.",1
urw-base35-z003-fonts,其它," Z003 font family [part of Level 2 Core Font Set]  This package contains Z003 font family,  which is part of Level 2 Core Font Set.      The Level 2 Core Font Set is a PostScript specification of 35 base fonts that  can be used with any PostScript file. In Fedora, these fonts are provided freely  by (URW)++ company, and are mainly utilized by applications using Ghostscript.",3, Z003 font family [part of Level 2 Core Font Set]," This package contains Z003 font family,
which is part of Level 2 Core Font Set.


The Level 2 Core Font Set is a PostScript specification of 35 base fonts that
can be used with any PostScript file. In Fedora, these fonts are provided freely
by (URW)++ company, and are mainly utilized by applications using Ghostscript.",3
kf5-kded,工具," KDE Frameworks 5 Tier 3 addon with extensible daemon for system-level services  KDED stands for KDE Daemon which isn't very descriptive. KDED runs  in the background and performs a number of small tasks. Some of these  tasks are built in, others are started on demand.    Custom KDED modules can be provided by 3rd party frameworks and  applications.",1, KDE Frameworks 5 Tier 3 addon with extensible daemon for system-level services," KDED stands for KDE Daemon which isn't very descriptive. KDED runs
in the background and performs a number of small tasks. Some of these
tasks are built in, others are started on demand.

Custom KDED modules can be provided by 3rd party frameworks and
applications.",2
gimp-libs,库, GIMP libraries  The gimp-libs package contains shared libraries needed for the GNU Image  Manipulation Program (GIMP).,0, GIMP libraries," The gimp-libs package contains shared libraries needed for the GNU Image
Manipulation Program (GIMP).",0
python3-openmpi,库, OpenMPI support for Python 3  OpenMPI support for Python 3.,0, OpenMPI support for Python 3, OpenMPI support for Python 3.,0
deepin-system-monitor,服务, A more user-friendly system monitor  A more user-friendly system monitor.,2, A more user-friendly system monitor, A more user-friendly system monitor.,1
java_cup-javadoc,库, Javadoc for java_cup  Javadoc for java_cup,0, Javadoc for java_cup, Javadoc for java_cup,0
ipa-server-common,服务," Common files used by IPA server  IPA is an integrated solution to provide centrally managed Identity (users,  hosts, services), Authentication (SSO, 2FA), and Authorization  (host access control, SELinux user roles, services). The solution provides  features for further integration with Linux based clients (SUDO, automount)  and integration with Active Directory based infrastructures (Trusts).  If you are installing an IPA server, you need to install this package.",2, Common files used by IPA server," IPA is an integrated solution to provide centrally managed Identity (users,
hosts, services), Authentication (SSO, 2FA), and Authorization
(host access control, SELinux user roles, services). The solution provides
features for further integration with Linux based clients (SUDO, automount)
and integration with Active Directory based infrastructures (Trusts).
If you are installing an IPA server, you need to install this package.",2
hunspell-en-US,工具, US English hunspell dictionaries  US English hunspell dictionaries,1, US English hunspell dictionaries, US English hunspell dictionaries,1
pcp-pmda-json,服务, Performance Co-Pilot (PCP) metrics for JSON data  This package contains the PCP Performance Metrics Domain Agent (PMDA) for  collecting metrics output in JSON.,2, Performance Co-Pilot (PCP) metrics for JSON data," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting metrics output in JSON.",2
vulkan-tools,工具, Vulkan tools  Vulkan tools,1, Vulkan tools, Vulkan tools,1
gcc-toolset-10-elfutils-libs,工具," Libraries to handle compiled objects  The elfutils-libs package contains libraries which implement DWARF, ELF,  and machine-specific ELF handling and process introspection.  These  libraries are used by the programs in the elfutils package.  The  elfutils-devel package enables building other programs using these  libraries.",1, Libraries to handle compiled objects," The elfutils-libs package contains libraries which implement DWARF, ELF,
and machine-specific ELF handling and process introspection.  These
libraries are used by the programs in the elfutils package.  The
elfutils-devel package enables building other programs using these
libraries.",0
langpacks-ast,其它, Asturian langpacks meta-package  This package provides Asturian langpacks meta-package.,3, Asturian langpacks meta-package, This package provides Asturian langpacks meta-package.,3
python3-rpm-generators,库, Dependency generators for Python RPMs  Dependency generators for Python RPMs.,0, Dependency generators for Python RPMs, Dependency generators for Python RPMs.,0
djvulibre-libs,库, Library files for DjVuLibre  Library files for DjVuLibre.,0, Library files for DjVuLibre, Library files for DjVuLibre.,0
ctags-etags,工具," Exuberant Ctags for emacs tag format  This package will generate tags in a format which GNU Emacs understand,  it's a alternativ implementation of the GNU etags program.  Note: some command line options is not compatible with GNU etags.",1, Exuberant Ctags for emacs tag format," This package will generate tags in a format which GNU Emacs understand,
it's a alternativ implementation of the GNU etags program.
Note: some command line options is not compatible with GNU etags.",1
texlive-ifxetex,工具," Am I running under XeTeX?  A simple package which provides an \ifxetex conditional, so  that other code can determine that it is running under XeTeX.  The package requires the e-TeX extensions to the TeX primitive  set.",1, Am I running under XeTeX?," A simple package which provides an \ifxetex conditional, so
that other code can determine that it is running under XeTeX.
The package requires the e-TeX extensions to the TeX primitive
set.",1
python2-babel,库," Library for internationalizing Python applications  Babel is composed of two major parts:    * tools to build and work with gettext message catalogs    * a Python interface to the CLDR (Common Locale Data Repository),    providing access to various locale display names, localized number    and date formatting, etc.",0, Library for internationalizing Python applications," Babel is composed of two major parts:

* tools to build and work with gettext message catalogs

* a Python interface to the CLDR (Common Locale Data Repository),
  providing access to various locale display names, localized number
  and date formatting, etc.",0
libreoffice-help-bn,库, Bengali help for LibreOffice  Provides Bengali help for LibreOffice.,0, Bengali help for LibreOffice, Provides Bengali help for LibreOffice.,0
libcacard,库," CAC (Common Access Card) library  This library provides emulation of smart cards to a virtual card  reader running in a guest virtual machine.    It implements DoD CAC standard with separate pki containers  (compatible coolkey), using certificates read from NSS.",0, CAC (Common Access Card) library," This library provides emulation of smart cards to a virtual card
reader running in a guest virtual machine.

It implements DoD CAC standard with separate pki containers
(compatible coolkey), using certificates read from NSS.",0
libreoffice-langpack-te,库, Telugu language pack for LibreOffice  Provides additional Telugu translations and resources for LibreOffice.,0, Telugu language pack for LibreOffice, Provides additional Telugu translations and resources for LibreOffice.,0
postgresql-odbc,库, PostgreSQL ODBC driver  This package includes the driver needed for applications to access a  PostgreSQL system via ODBC (Open Database Connectivity).,0, PostgreSQL ODBC driver," This package includes the driver needed for applications to access a
PostgreSQL system via ODBC (Open Database Connectivity).",2
perl-Tie-IxHash,库, Ordered associative arrays for Perl  This Perl module implements Perl hashes that preserve the order in  which the hash elements were added. The order is not affected when  values corresponding to existing keys in the IxHash are changed.  The elements can also be set to any arbitrary supplied order. The  familiar perl array operations can also be performed on the IxHash.,0, Ordered associative arrays for Perl," This Perl module implements Perl hashes that preserve the order in
which the hash elements were added. The order is not affected when
values corresponding to existing keys in the IxHash are changed.
The elements can also be set to any arbitrary supplied order. The
familiar perl array operations can also be performed on the IxHash.",0
liba52,库," A free ATSC A/52 stream decoder, also known as AC-3 or AC3  liba52 is a free library for decoding ATSC A/52 streams. The A/52  standard is used in a variety of applications, including digital  television and DVD. It is also known as AC-3 or AC3",0," A free ATSC A/52 stream decoder, also known as AC-3 or AC3"," liba52 is a free library for decoding ATSC A/52 streams. The A/52
standard is used in a variety of applications, including digital
television and DVD. It is also known as AC-3 or AC3",0
perl-String-ShellQuote,库, Perl module for quoting strings for passing through the shell  This package contains a Perl module and a command line utility which  are useful for quoting strings which are going to pass through the  shell or a shell-like object.,0, Perl module for quoting strings for passing through the shell," This package contains a Perl module and a command line utility which
are useful for quoting strings which are going to pass through the
shell or a shell-like object.",0
maven-antrun-plugin,工具, Maven AntRun Plugin  This plugin provides the ability to run Ant tasks from within Maven.  It is even possible to embed Ant scripts in the POM.,1, Maven AntRun Plugin," This plugin provides the ability to run Ant tasks from within Maven.
It is even possible to embed Ant scripts in the POM.",1
java-17-openjdk-static-libs-fastdebug,库, OpenJDK 17 libraries for static linking optimised with full debugging on  The OpenJDK 17 libraries for static linking.  This package is optimised with full debugging. Install only as needed and remove ASAP.,0, OpenJDK 17 libraries for static linking optimised with full debugging on," The OpenJDK 17 libraries for static linking.
This package is optimised with full debugging. Install only as needed and remove ASAP.",0
java-11-openjdk-slowdebug,库, OpenJDK 11 Runtime Environment unoptimised with full debugging on  The OpenJDK 11 runtime environment.  This package is unoptimised with full debugging. Install only as needed and remove ASAP.,0, OpenJDK 11 Runtime Environment unoptimised with full debugging on," The OpenJDK 11 runtime environment.
This package is unoptimised with full debugging. Install only as needed and remove ASAP.",0
hyphen-el,库, Greek hyphenation rules  Greek hyphenation rules.,0, Greek hyphenation rules, Greek hyphenation rules.,0
mingw32-libpng,库, MinGW Windows Libpng library  MinGW Windows Libpng library.,0, MinGW Windows Libpng library, MinGW Windows Libpng library.,0
python38-more-itertools,库, Python library for efficient use of itertools utility  Opensource python library wrapping around itertools. Package also includes  implementations of the recipes from the itertools documentation.    See https://pythonhosted.org/more-itertools/index.html for documentation.,0, Python library for efficient use of itertools utility," Opensource python library wrapping around itertools. Package also includes
implementations of the recipes from the itertools documentation.

See https://pythonhosted.org/more-itertools/index.html for documentation.",0
fence-agents-compute,服务, Fence agent for Nova compute nodes  Fence agent for Nova compute nodes.,2, Fence agent for Nova compute nodes, Fence agent for Nova compute nodes.,2
kf5-sonnet-core,工具, Non-gui part of the Sonnet framework  Non-gui part of the Sonnet framework provides low-level spell checking tools,1, Non-gui part of the Sonnet framework, Non-gui part of the Sonnet framework provides low-level spell checking tools,1
fence-agents-aliyun,服务, Fence agent for Alibaba Cloud (Aliyun)  The fence-agents-aliyun package contains a fence agent for Alibaba Cloud (Aliyun) instances.,2, Fence agent for Alibaba Cloud (Aliyun), The fence-agents-aliyun package contains a fence agent for Alibaba Cloud (Aliyun) instances.,2
malaga-suomi-voikko,工具," A description of Finnish morphology written in Malaga (Voikko edition)  A description of Finnish morphology written in Malaga. This package is built  to support the Voikko spellchecker/hyphenator, it doesn't support the Sukija  text indexer.",1, A description of Finnish morphology written in Malaga (Voikko edition)," A description of Finnish morphology written in Malaga. This package is built
to support the Voikko spellchecker/hyphenator, it doesn't support the Sukija
text indexer.",1
texlive-mathpazo,库," Fonts to typeset mathematics to match Palatino  The Pazo Math fonts are a family of PostScript fonts suitable  for typesetting mathematics in combination with the Palatino  family of text fonts. The Pazo Math family is made up of five  fonts provided in Adobe Type 1 format (PazoMath, PazoMath-  Italic, PazoMath-Bold, PazoMath-BoldItalic, and  PazoMathBlackboardBold). These contain, in designs that match  Palatino, glyphs that are usually not available in Palatino and  for which Computer Modern looks odd when combined with  Palatino. These glyphs include the uppercase Greek alphabet in  upright and slanted shapes in regular and bold weights, the  lowercase Greek alphabet in slanted shape in regular and bold  weights, several mathematical glyphs (partialdiff, summation,  product, coproduct, emptyset, infinity, and proportional) in  regular and bold weights, other glyphs (Euro and dotlessj) in  upright and slanted shapes in regular and bold weights, and the  uppercase letters commonly used to represent various number  sets (C, I, N, Q, R, and Z) in blackboard bold. The set also  includes a set of 'true' small-caps fonts, also suitable for  use with Palatino (or one of its clones). LaTeX macro support  (using package mathpazo.sty) is provided in psnfss (a required  part of any LaTeX distribution).",0, Fonts to typeset mathematics to match Palatino," The Pazo Math fonts are a family of PostScript fonts suitable
for typesetting mathematics in combination with the Palatino
family of text fonts. The Pazo Math family is made up of five
fonts provided in Adobe Type 1 format (PazoMath, PazoMath-
Italic, PazoMath-Bold, PazoMath-BoldItalic, and
PazoMathBlackboardBold). These contain, in designs that match
Palatino, glyphs that are usually not available in Palatino and
for which Computer Modern looks odd when combined with
Palatino. These glyphs include the uppercase Greek alphabet in
upright and slanted shapes in regular and bold weights, the
lowercase Greek alphabet in slanted shape in regular and bold
weights, several mathematical glyphs (partialdiff, summation,
product, coproduct, emptyset, infinity, and proportional) in
regular and bold weights, other glyphs (Euro and dotlessj) in
upright and slanted shapes in regular and bold weights, and the
uppercase letters commonly used to represent various number
sets (C, I, N, Q, R, and Z) in blackboard bold. The set also
includes a set of 'true' small-caps fonts, also suitable for
use with Palatino (or one of its clones). LaTeX macro support
(using package mathpazo.sty) is provided in psnfss (a required
part of any LaTeX distribution).",1
xorg-x11-xinit,服务, X.Org X11 X Window System xinit startup scripts  X.Org X11 X Window System xinit startup scripts.,2, X.Org X11 X Window System xinit startup scripts, X.Org X11 X Window System xinit startup scripts.,1
perl-Class-Singleton,库," Implementation of a ""Singleton"" class  This is the Class::Singleton module. A Singleton describes an object class  that can have only one instance in any system. An example of a Singleton  might be a print spooler or system registry. This module implements a  Singleton class from which other classes can be derived. By itself, the  Class::Singleton module does very little other than manage the  instantiation of a single object. In deriving a class from  Class::Singleton, your module will inherit the Singleton instantiation  method and can implement whatever specific functionality is required.",0," Implementation of a ""Singleton"" class"," This is the Class::Singleton module. A Singleton describes an object class
that can have only one instance in any system. An example of a Singleton
might be a print spooler or system registry. This module implements a
Singleton class from which other classes can be derived. By itself, the
Class::Singleton module does very little other than manage the
instantiation of a single object. In deriving a class from
Class::Singleton, your module will inherit the Singleton instantiation
method and can implement whatever specific functionality is required.",0
libzstd,库, Zstd shared library  Zstandard compression shared library.,0, Zstd shared library, Zstandard compression shared library.,0
perl-Class-Factory-Util,库, Provide utility methods for factory classes  This module exports utility functions that are useful for factory classes.,0, Provide utility methods for factory classes, This module exports utility functions that are useful for factory classes.,0
dbus-glib,库, GLib bindings for D-Bus    D-Bus add-on library to integrate the standard D-Bus library with  the GLib thread abstraction and main loop.,0, GLib bindings for D-Bus," 
D-Bus add-on library to integrate the standard D-Bus library with
the GLib thread abstraction and main loop.",0
java-17-openjdk-fastdebug,库, OpenJDK 17 Runtime Environment optimised with full debugging on  The OpenJDK 17 runtime environment.  This package is optimised with full debugging. Install only as needed and remove ASAP.,0, OpenJDK 17 Runtime Environment optimised with full debugging on," The OpenJDK 17 runtime environment.
This package is optimised with full debugging. Install only as needed and remove ASAP.",0
lld,工具, The LLVM Linker  The LLVM project linker.,1, The LLVM Linker, The LLVM project linker.,2
aspnetcore-targeting-pack-3.1,库, Targeting Pack for Microsoft.AspNetCore.App 3.1  This package provides a targetting pack for Microsoft.AspNetCore.App 3.1  that allows developers to compile against and target Microsoft.AspNetCore.App 3.1  applications using the .NET Core SDK.,0, Targeting Pack for Microsoft.AspNetCore.App 3.1," This package provides a targetting pack for Microsoft.AspNetCore.App 3.1
that allows developers to compile against and target Microsoft.AspNetCore.App 3.1
applications using the .NET Core SDK.",0
dropwatch,工具, Kernel dropped packet monitor  dropwatch is an utility to interface to the kernel to monitor for dropped  network packets.,1, Kernel dropped packet monitor," dropwatch is an utility to interface to the kernel to monitor for dropped
network packets.",1
bsh-javadoc,库, API documentation for bsh  This package provides API documentation for bsh.,0, API documentation for bsh, This package provides API documentation for bsh.,0
libdwarf-static,库, Static libdwarf library  Static libdwarf library.,0, Static libdwarf library, Static libdwarf library.,0
python3-dbus-signature-pyparsing,库, Parser for a D-Bus Signature  Parser for a D-Bus Signature.    Python 3 version.,0, Parser for a D-Bus Signature," Parser for a D-Bus Signature.

Python 3 version.",0
wodim,库," A command line CD/DVD recording program  Wodim is an application for creating audio and data CDs. Wodim  works with many different brands of CD recorders, fully supports  multi-sessions and provides human-readable error messages.",0, A command line CD/DVD recording program," Wodim is an application for creating audio and data CDs. Wodim
works with many different brands of CD recorders, fully supports
multi-sessions and provides human-readable error messages.",1
ghostscript-x11,工具," Ghostscript's X11-based driver for document rendering  This package provides X11-based driver for Ghostscript, which enables displaying  of various document files (including PS and PDF).",1, Ghostscript's X11-based driver for document rendering," This package provides X11-based driver for Ghostscript, which enables displaying
of various document files (including PS and PDF).",1
perl-Unicode-Collate,库, Unicode Collation Algorithm  This package is Perl implementation of Unicode Technical Standard #10 (Unicode  Collation Algorithm).,0, Unicode Collation Algorithm," This package is Perl implementation of Unicode Technical Standard #10 (Unicode
Collation Algorithm).",0
fence-agents-brocade,服务, Fence agent for Brocade switches  Fence agent for Brocade devices that are accessed via telnet or SSH.,2, Fence agent for Brocade switches, Fence agent for Brocade devices that are accessed via telnet or SSH.,2
readonly-root,服务,Service for configuring read-only root support  This package provides script & configuration file for setting up read-only root  support. Additional configuration is required after installation. ,2,Service for configuring read-only root support ,"This package provides script & configuration file for setting up read-only root
support. Additional configuration is required after installation. ",2
python3-pip-wheel,库, The pip wheel  A Python wheel of pip to use with venv.,0, The pip wheel, A Python wheel of pip to use with venv.,1
bind9.16-dnssec-utils,工具," DNSSEC keys and zones management utilities  Bind-dnssec-utils contains a collection of utilities for editing  DNSSEC keys and BIND zone files. These tools provide generation,  revocation and verification of keys and DNSSEC signatures in zone files.    You should install bind9.16-dnssec-utils if you need to sign a DNS zone  or maintain keys for it.",1, DNSSEC keys and zones management utilities," Bind-dnssec-utils contains a collection of utilities for editing
DNSSEC keys and BIND zone files. These tools provide generation,
revocation and verification of keys and DNSSEC signatures in zone files.

You should install bind9.16-dnssec-utils if you need to sign a DNS zone
or maintain keys for it.",1
lightdm-gtk-greeter-settings,库, Settings editor for LightDM GTK+ Greeter  Just a small dialog to make it easier for users to modify the settings  of lightdm-gtk-greeter.,0, Settings editor for LightDM GTK+ Greeter," Just a small dialog to make it easier for users to modify the settings
of lightdm-gtk-greeter.",0
gvfs-archive,工具," Archiving support for gvfs  This package provides support for accessing files inside Zip and Tar archives,  as well as ISO images, to applications using gvfs.",1, Archiving support for gvfs," This package provides support for accessing files inside Zip and Tar archives,
as well as ISO images, to applications using gvfs.",1
google-noto-sans-samaritan-fonts,其它, Sans Samaritan font  Noto fonts aims to remove tofu from web by providing fonts for all  Unicode supported scripts. Its design goal is to achieve visual harmonization  between multiple scripts. Noto family supports almost all scripts available  in Unicode.    Noto Sans font for Samaritan.,3, Sans Samaritan font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Samaritan.",3
librabbitmq,库,Client library for AMQP  This is a C-language AMQP client library for use with AMQP servers  speaking protocol versions 0-9-1. ,0,Client library for AMQP ,"This is a C-language AMQP client library for use with AMQP servers
speaking protocol versions 0-9-1. ",0
kernel-debug-modules-internal,库, Extra kernel modules to match the debug kernel  This package provides kernel modules for the debug kernel package for Alibaba Cloud Linux internal usage.,0, Extra kernel modules to match the debug kernel, This package provides kernel modules for the debug kernel package for Alibaba Cloud Linux internal usage.,3
tesseract-langpack-ben,工具, Bengali language data for tesseract-tessdata  This package contains the fast integer version of the Bengali language  trained models for the Tesseract Open Source OCR Engine.,1, Bengali language data for tesseract-tessdata," This package contains the fast integer version of the Bengali language
trained models for the Tesseract Open Source OCR Engine.",1
python39-wheel,库," Built-package format for Python  Wheel is the reference implementation of the Python wheel packaging standard,  as defined in PEP 427.    It has two different roles:     1. A setuptools extension for building wheels that provides the bdist_wheel      setuptools command.   2. A command line tool for working with wheel files.",0, Built-package format for Python," Wheel is the reference implementation of the Python wheel packaging standard,
as defined in PEP 427.

It has two different roles:

 1. A setuptools extension for building wheels that provides the bdist_wheel
    setuptools command.
 2. A command line tool for working with wheel files.",0
texlive-tex-gyre,工具," TeX Fonts extending freely available URW fonts  The TeX-GYRE bundle consists of six font families: TeX Gyre  Adventor is based on the URW Gothic L family of fonts (which is  derived from ITC Avant Garde Gothic, designed by Herb Lubalin  and Tom Carnase). TeX Gyre Bonum is based on the URW Bookman L  family (from Bookman Old Style, designed by Alexander  Phemister). TeX Gyre Chorus is based on URW Chancery L Medium  Italic (from ITC Zapf Chancery, designed by Hermann Zapf in  1979). TeX-Gyre Cursor is based on URW Nimbus Mono L (based on  Courier, designed by Howard G. Kettler in 1955, for IBM). TeX  Gyre Heros is based on URW Nimbus Sans L (from Helvetica,  prepared by Max Miedinger, with Eduard Hoffmann in 1957). TeX  Gyre Pagella is based on URW Palladio L (from Palation,  designed by Hermann Zapf in the 1940s). TeX Gyre Schola is  based on the URW Century Schoolbook L family (which was  designed by Morris Fuller Benton for the American Type  Founders). TeX Gyre Termes is based on the URW Nimbus Roman No9  L family of fonts (whose original, Times, was designed by  Stanley Morison together with Starling Burgess and Victor  Lardent and first offered by Monotype). The constituent  standard faces of each family have been greatly extended, and  contain nearly 1200 glyphs each (though Chorus omits Greek  support, has no small-caps family and has approximately 900  glyphs). Each family is available in Adobe Type 1 and Open Type  formats, and LaTeX support (for use with a variety of  encodings) is provided. Vietnamese and Cyrillic characters were  added by Han The Thanh and Valek Filippov, respectively.",1, TeX Fonts extending freely available URW fonts," The TeX-GYRE bundle consists of six font families: TeX Gyre
Adventor is based on the URW Gothic L family of fonts (which is
derived from ITC Avant Garde Gothic, designed by Herb Lubalin
and Tom Carnase). TeX Gyre Bonum is based on the URW Bookman L
family (from Bookman Old Style, designed by Alexander
Phemister). TeX Gyre Chorus is based on URW Chancery L Medium
Italic (from ITC Zapf Chancery, designed by Hermann Zapf in
1979). TeX-Gyre Cursor is based on URW Nimbus Mono L (based on
Courier, designed by Howard G. Kettler in 1955, for IBM). TeX
Gyre Heros is based on URW Nimbus Sans L (from Helvetica,
prepared by Max Miedinger, with Eduard Hoffmann in 1957). TeX
Gyre Pagella is based on URW Palladio L (from Palation,
designed by Hermann Zapf in the 1940s). TeX Gyre Schola is
based on the URW Century Schoolbook L family (which was
designed by Morris Fuller Benton for the American Type
Founders). TeX Gyre Termes is based on the URW Nimbus Roman No9
L family of fonts (whose original, Times, was designed by
Stanley Morison together with Starling Burgess and Victor
Lardent and first offered by Monotype). The constituent
standard faces of each family have been greatly extended, and
contain nearly 1200 glyphs each (though Chorus omits Greek
support, has no small-caps family and has approximately 900
glyphs). Each family is available in Adobe Type 1 and Open Type
formats, and LaTeX support (for use with a variety of
encodings) is provided. Vietnamese and Cyrillic characters were
added by Han The Thanh and Valek Filippov, respectively.",1
libiptcdata,库," IPTC tag library  libiptcdata is a library for parsing, editing, and saving IPTC data  stored inside images.  IPTC is a standard for encoding metadata such  as captions, titles, locations, etc. in the headers of an image file.  libiptcdata also includes a command-line utility for modifying the  metadata.",0, IPTC tag library," libiptcdata is a library for parsing, editing, and saving IPTC data
stored inside images.  IPTC is a standard for encoding metadata such
as captions, titles, locations, etc. in the headers of an image file.
libiptcdata also includes a command-line utility for modifying the
metadata.",0
python3-humanize,库," Turns dates in to human readable format, e.g '3 minutes ago'  This modest package contains various common humanization utilities, like turning  a number into a fuzzy human readable duration ('3 minutes ago') or into a human  readable size or throughput.",0," Turns dates in to human readable format, e.g '3 minutes ago'"," This modest package contains various common humanization utilities, like turning
a number into a fuzzy human readable duration ('3 minutes ago') or into a human
readable size or throughput.",1
php-ffi,库," Foreign Function Interface  FFI is one of the features that made Python and LuaJIT very useful for fast  prototyping. It allows calling C functions and using C data types from pure  scripting language and therefore develop __ystem code_ more productively.    For PHP, FFI opens a way to write PHP extensions and bindings to C libraries  in pure PHP.",0, Foreign Function Interface," FFI is one of the features that made Python and LuaJIT very useful for fast
prototyping. It allows calling C functions and using C data types from pure
scripting language and therefore develop __ystem code_ more productively.

For PHP, FFI opens a way to write PHP extensions and bindings to C libraries
in pure PHP.",0
culmus-shofar-fonts,其它, Fonts for Hebrew from Culmus project    The culmus-fonts package contains fonts for the display of  Hebrew from the Culmus project.,3, Fonts for Hebrew from Culmus project," 
The culmus-fonts package contains fonts for the display of
Hebrew from the Culmus project.",3
tpm2-tools,工具,A TPM2.0 testing tool build upon TPM2.0-TSS  tpm2-tools is a batch of testing tools for tpm2.0. It is based on tpm2-tss. ,1,A TPM2.0 testing tool build upon TPM2.0-TSS ,tpm2-tools is a batch of testing tools for tpm2.0. It is based on tpm2-tss. ,1
cmake,工具," Cross-platform make system  CMake is used to control the software compilation process using simple  platform and compiler independent configuration files. CMake generates  native makefiles and workspaces that can be used in the compiler  environment of your choice. CMake is quite sophisticated: it is possible  to support complex environments requiring system configuration, preprocessor  generation, code generation, and template instantiation.",1, Cross-platform make system," CMake is used to control the software compilation process using simple
platform and compiler independent configuration files. CMake generates
native makefiles and workspaces that can be used in the compiler
environment of your choice. CMake is quite sophisticated: it is possible
to support complex environments requiring system configuration, preprocessor
generation, code generation, and template instantiation.",1
texlive-context,工具," The ConTeXt macro package  A full featured, parameter driven macro package, which fully  supports advanced interactive documents. See the ConTeXt garden  for a wealth of support information.",1, The ConTeXt macro package," A full featured, parameter driven macro package, which fully
supports advanced interactive documents. See the ConTeXt garden
for a wealth of support information.",1
autocorr-en,库, English auto-correction rules  Rules for auto-correcting common English typing errors.,0, English auto-correction rules, Rules for auto-correcting common English typing errors.,0
libreoffice-core,库, Core modules for LibreOffice  The shared core libraries and support files for LibreOffice.,0, Core modules for LibreOffice, The shared core libraries and support files for LibreOffice.,0
eclipse-swt,工具, SWT Library for GTK+  SWT Library for GTK+.,1, SWT Library for GTK+, SWT Library for GTK+.,0
colord-gtk,库, GTK support library for colord  colord-gtk is a support library for colord and provides additional  functionality that requires GTK+.,0, GTK support library for colord," colord-gtk is a support library for colord and provides additional
functionality that requires GTK+.",0
