pkg,summary,description,summary_bert_key,description_bert_key,summary_textrank_key,description_textrank_key,predict_label,real_label
perl-YAML,"
YAML Ain't Markup Language (tm).","
The YAML.pm module implements a YAML Loader and Dumper based on the
YAML 1.0 specification. http://www.yaml.org/spec/
YAML is a generic data serialization language that is optimized for
human readability. It can be used to express the data structures of
most modern programming languages, including Perl.
For information on the YAML syntax, please refer to the YAML
specification.",yaml markup tm ,yaml perl serialization module dumper ,yaml markup language ,yaml language data serialization specification ,5,none
perl-TimeDate,"
A Perl module for time and date manipulation.","
This module includes a number of smaller modules suited for
manipulation of time and date strings with Perl. In particular, the
Date::Format and Date::Parse modules can display and read times and
dates in various formats, providing a more reliable interface to
textual representations of points in time.",perl date manipulation ,perl parse dates format times ,perl module time ,time date module suit manipulation ,5,none
perl-String-ShellQuote,"
Perl module for quoting strings for passing through the shell.","
This package contains a Perl module and a command line utility which
are useful for quoting strings which are going to pass through the
shell or a shell-like object.",perl quoting shell ,perl quoting command shell strings ,module quote string ,command string line quote utility ,5,none
perl-Object-HashBase,"
Generate inlined Object::HashBase Perl module.
Build hash-based classes.","
hashbase_inc.pl script generates a Perl module that contains
a Object::HashBase module mangled into a name space of your choice. It can
also generate the tests for it.
This package is used to generate classes based on hash references. Using this
class will give you a new() method, as well as generating accessors you
request.  Generated accessors will be getters, set_ACCESSOR setters will also
be generated for you. You also get constants for each accessor (all caps)
which return the key into the hash for that accessor. Single inheritance is
also supported.",hashbase perl inlined ,hashbase_inc hashbase set_accessor perl inheritance ,generate inlined object ,generate also module accessors hash ,5,none
perl-Net-SSLeay,"
Perl extension for using OpenSSL.","
This module offers some high level convenience functions for accessing
web pages on SSL servers (for symmetry, same API is offered for
accessing http servers, too), a sslcat() function for writing your own
clients, and finally access to the SSL API of SSLeay/OpenSSL package
so you can write servers or clients for more complicated applications.",openssl perl extension ,openssl ssl sslcat module api ,perl extension openssl ,access server function offer write ,5,none
perl-NTLM,"
NTLM Perl module.","
This module provides methods to use NTLM authentication.  It can be used
as an authenticate method with the Mail::IMAPClient module to perform
the challenge/response mechanism for NTLM connections or it can be used
on its own for NTLM authentication with other protocols (eg. HTTP).",perl ntlm module ,imapclient authentication ntlm mail protocols ,ntlm perl module ,ntlm module method perform authentication ,5,none
perl-Module-CPANfile,"
Parse cpanfile.","
Module::CPANfile is a tool to handle cpanfile format to load application
specific dependencies, not just for CPAN distributions.",cpanfile parse ,cpanfile cpan dependencies module format ,parse cpanfile ,format application load cpanfile specific ,5,none
perl-libwww-perl,"
A Perl interface to the World-Wide Web.","
The libwww-perl collection is a set of Perl modules which provides a simple and
consistent application programming interface to the World-Wide Web.  The main
focus of the library is to provide classes and functions that allow you to
write WWW clients. The library also contain modules that are of more general
use and even classes that help you implement simple HTTP servers.",perl web interface ,perl library http libwww modules ,perl interface world-wide ,class provide simple module library ,5,none
perl-IO-Compress-Lzma,"
Read and write lzma compressed data.","
This distribution provides a Perl interface to allow reading and writing of
compressed data created with the lzma library.",compressed data lzma ,perl compressed library data lzma ,read write lzma ,allow compress reading writing interface ,5,none
perl-HTML-Parser,"
Perl module for parsing HTML.","
The HTML-Parser module for perl to parse and extract information from
HTML documents, including the HTML::Entities, HTML::HeadParser,
HTML::LinkExtor, HTML::PullParser, and HTML::TokeParser modules.",perl html parsing ,html perl parser linkextor extract ,perl module parse ,extract html information parse module ,5,none
perl-HTML-Tagset,"
HTML::Tagset - data tables useful in parsing HTML.","
This module contains several data tables useful in various kinds of
HTML parsing operations, such as tag and entity names.",tagset html parsing ,html parsing tables module tag ,html data table ,table html useful kind various ,5,none
perl-FCGI,"
FastCGI Perl bindings.","
FastCGI Perl bindings.",fastcgi perl bindings ,fastcgi perl bindings ,fastcgi perl binding ,fastcgi perl binding ,5,none
perl-Encode-Locale,"
Determine the locale encoding.","
In many applications it's wise to let Perl use Unicode for the strings
it processes.  Most of the interfaces Perl has to the outside world is
still byte based.  Programs therefore needs to decode byte strings
that enter the program from the outside and encode them again on the
way out.",encoding locale determine ,perl unicode encode strings interfaces ,determine locale encoding ,string byte perl outside decode ,5,none
perl-DBD-MySQL,"
A MySQL interface for Perl.","
DBD::mysql is the Perl5 Database Interface driver for the MySQL database. In
other words: DBD::mysql is an interface between the Perl programming language
and the MySQL programming API that comes with the MySQL relational database
management system.",perl mysql interface ,dbd mysql database perl5 interface ,mysql interface perl ,mysql database interface programming language ,5,none
perl-DBD-Pg,"
A PostgreSQL interface for perl.","
DBD::Pg is a Perl module that works with the DBI module to provide access
to PostgreSQL databases.",postgresql perl interface ,postgresql dbd pg databases perl ,postgresql interface perl ,module provide work access postgresql ,5,none
perl-Data-Dump,"
Pretty printing of data structures.","
This module provides a single function called dump() that takes a list of
values as its argument and produces a string as its result. The string
contains Perl code that, when evaled, produces a deep copy of the original
arguments. The string is formatted for easy reading.",printing structures data ,perl string dump arguments module ,pretty printing data ,string produce argument call evaled ,5,none
perl-CPAN-Meta-Check,"
Verify requirements in a CPAN::Meta object.","
This module verifies if requirements described in a CPAN::Meta object are
present.",requirements cpan verify ,cpan requirements module meta verifies ,verify requirement cpan ,requirement describe cpan verify object ,5,none
hivex,"
Perl bindings for hivex.
Python 3 bindings for hivex.
Ruby bindings for hivex.
Read and write Windows Registry binary hive files.","
perl-hivex contains Perl bindings for hivex.
python3-hivex contains Python 3 bindings for hivex.
ruby-hivex contains Ruby bindings for hivex.
Hive files are the undocumented binary files that Windows uses to
store the Windows Registry on disk.  Hivex is a library that can read
and write to these files.

'hivexsh' is a shell you can use to interactively navigate a hive
binary file.

'hivexregedit' (in perl-hivex) lets you export and merge to the
textual regedit format.

'hivexml' can be used to convert a hive file to a more useful XML
format.

In order to get access to the hive files themselves, you can copy them
from a Windows machine.  They are usually found in
%systemroot%\system32\config.  For virtual machines we recommend
using libguestfs or guestfish to copy out these files.  libguestfs
also provides a useful high-level tool called 'virt-win-reg' (based on
hivex technology) which can be used to query specific registry keys in
an existing Windows VM.

For OCaml bindings, see 'ocaml-hivex-devel'.

For Perl bindings, see 'perl-hivex'.

For Python 3 bindings, see 'python3-hivex'.

For Ruby bindings, see 'ruby-hivex'.",hivex perl registry ,hivexml hive hivexregedit registry perl ,binding hivex windows ,file hivex binding hive windows ,5,none
i2c-tools,"
A heterogeneous set of I2C tools for Linux.
i2c tools written in Perl.
I2C/SMBus bus access library.","
This package contains a heterogeneous set of I2C tools for Linux: a bus
probing tool, a chip dumper, register-level access helpers, EEPROM
decoding scripts, and more.
A collection of tools written in perl for use with i2c devices.
libi2c offers a way for applications to interact with the devices
connected to the I2C or SMBus buses of the system.",i2c smbus perl ,i2c libi2c tools perl smbus ,tool i2c/smbus access ,tool device access interact register-level ,5,应用工具
irssi,"
Modular text mode IRC client with Perl scripting.","
Irssi is a modular IRC client with Perl scripting. Only text-mode
frontend is currently supported. The GTK/GNOME frontend is no longer
being maintained.",perl irc scripting ,irssi irc perl frontend gnome ,text mode client ,frontend irssi modular client perl ,5,应用工具
latex2html,"
Converts LaTeX documents to HTML.","
LATEX2HTML is a converter written in Perl that converts LATEX
documents to HTML. This way e.g. scientific papers - primarily typeset
for printing - can be put on the Web for online viewing.

LATEX2HTML does also a good job in rapid web site deployment. These
pages are generated from a single LATEX source.",html latex converts ,latex2html html latex perl converter ,converts latex document ,latex latex2html perl convert primarily ,5,应用工具
mingw-expat,"
MinGW Windows port of expat XML parser library.
MinGW Windows port of expat XML parser library.","
This is expat, the C library for parsing XML, written by James Clark. Expat
is a stream oriented XML parser. This means that you register handlers with
the parser prior to starting the parse. These handlers are called when the
parser discovers the associated structures in the document being parsed. A
start tag is an example of the kind of structures for which you may
register handlers.
This is expat, the C library for parsing XML, written by James Clark. Expat
is a stream oriented XML parser. This means that you register handlers with
the parser prior to starting the parse. These handlers are called when the
parser discovers the associated structures in the document being parsed. A
start tag is an example of the kind of structures for which you may
register handlers.",xml mingw expat ,xml parser handlers tag starting ,windows port expat ,parser parse handler structure expat ,5,应用工具
modulemd-tools,"
Collection of tools for parsing and generating modulemd YAML files.","
Tools provided by this package:

repo2module - Takes a YUM repository on its input and creates modules.yaml
    containing YAML module definitions generated for each package.

dir2module - Generates a module YAML definition based on essential module
    information provided via command-line parameters. The packages provided by
    the module are found in a specified directory or a text file containing
    their list.

createrepo_mod - A small wrapper around createrepo_c and modifyrepo_c to provide
    an easy tool for generating module repositories.

modulemd-merge - Merge several modules.yaml files into one. This is useful for
    example if you have several yum repositories and want to merge them into one.

modulemd-generate-macros - Generate module-build-macros SRPM package, which is
    a central piece for building modules. It should be present in the buildroot
    before any other module packages are submitted to be built.

bld2repo - Simple tool for dowloading build required RPMs of a modular build from koji.",yaml modulemd parsing ,repo2module modulemd createrepo_mod packages yaml ,parse generate modulemd ,module package provide repository tool ,5,应用工具
raptor2,"
RDF Parser Toolkit for Redland.","
Raptor is the RDF Parser Toolkit for Redland that provides
a set of standalone RDF parsers, generating triples from RDF/XML
or N-Triples.",rdf redland parser ,rdf parsers toolkit redland raptor ,parser toolkit redland ,parser provide generate standalone triple ,5,应用工具
re2,"
C++ fast alternative to backtracking RE engines.","
RE2 is a C++ library providing a fast, safe, thread-friendly alternative to
backtracking regular expression engines like those used in PCRE, Perl, and
Python.

Backtracking engines are typically full of features and convenient syntactic
sugar but can be forced into taking exponential amounts of time on even small
inputs.

In contrast, RE2 uses automata theory to guarantee that regular expression
searches run in time linear in the size of the input, at the expense of some
missing features (e.g back references and generalized assertions).",backtracking engines alternative ,re2 automata backtracking perl python ,fast alternative backtrack ,feature regular expression time engine ,5,应用工具
rrdtool,"
Perl RRDtool bindings.
Round Robin Database Tool to store and display time-series data.","
The Perl RRDtool bindings
RRD is the Acronym for Round Robin Database. RRD is a system to store and
display time-series data (i.e. network bandwidth, machine-room temperature,
server load average). It stores the data in a very compact way that will not
expand over time, and it presents useful graphs by processing the data to
enforce a certain data density. It can be used either via simple wrapper
scripts (from shell or Perl) or via frontends that poll network devices and
put a friendly user interface on it.",rrdtool perl database ,rrdtool rrd perl database bandwidth ,tool store database ,data network perl shell poll ,5,应用工具
texi2html,"
A highly customizable texinfo to HTML and other formats translator.","
The basic purpose of texi2html is to convert Texinfo documents into HTML,
and other formats.  Configuration files written in perl provide fine degree
of control over the final output, allowing most every aspect of the final
output not specified in the Texinfo input file to be specified.",texinfo formats html ,texi2html perl texinfo html formats ,customizable texinfo html ,texinfo final output file convert ,5,应用工具
libev,"
High-performance event loop/event model with lots of features.
High-performance event loop/event model with lots of features.","
Libev is modeled (very loosely) after libevent and the Event Perl
module, but is faster, scales better and is more correct, and also more
featureful. And also smaller.
This package contains the source code for libev.",event features performance ,libevent libev perl event module ,high-performance event loop/event ,libev scale faster event module ,5,应用库
libxml++,"
C++ wrapper for the libxml2 XML parser library.","
libxml++ is a C++ wrapper for the libxml2 XML parser library. Its original
author is Ari Johnson and it is currently maintained by Christophe de Vienne
and Murray Cumming.",libxml2 xml parser ,libxml2 libxml xml parser library ,wrapper libxml2 parser ,maintain currently christophe johnson vienne ,5,应用库
libxmlb,"
Library for querying compressed XML metadata.","
XML is slow to parse and strings inside the document cannot be memory mapped as
they do not have a trailing NUL char. The libxmlb library takes XML source, and
converts it to a structured binary representation with a deduplicated string
table -- where the strings have the NULs included.

This allows an application to mmap the binary XML file, do an XPath query and
return some strings without actually parsing the entire document. This is all
done using (almost) zero allocations and no actual copying of the binary data.",xml metadata compressed ,xml libxmlb xpath parsing binary ,library query compressed ,binary string document parse convert ,5,应用库
libxslt,"
Library providing the Gnome XSLT engine.","
This C library allows to transform XML files into other XML files
(or HTML, text, ...) using the standard XSLT stylesheet transformation
mechanism. To use it you need to have a version of libxml2 >= 2.6.27
installed. The xsltproc command is a command line interface to the XSLT engine",xslt library gnome ,libxml2 xml xslt xsltproc html ,library provide gnome ,xslt file html text standard ,5,应用库
libyaml,"
YAML 1.1 parser and emitter written in C.","
YAML is a data serialization format designed for human readability and
interaction with scripting languages.  LibYAML is a YAML parser and
emitter written in C.",yaml parser emitter ,yaml libyaml parser serialization format ,yaml parser emitter ,yaml human design readability format ,5,应用库
mingw-pcre,"
Static version of the mingw32-pcre library.
Static version of the mingw64-pcre library.
MinGW Windows pcre library.
MinGW Windows pcre library.","
Static version of the mingw32-pcre library.
Static version of the mingw64-pcre library.
Cross compiled Perl-compatible regular expression library for use with mingw32.

PCRE has its own native API, but a set of ""wrapper"" functions that are based on
the POSIX API are also supplied in the library libpcreposix. Note that this
just provides a POSIX calling interface to PCRE: the regular expressions
themselves still follow Perl syntax and semantics. The header file
for the POSIX-style functions is called pcreposix.h.
Cross compiled Perl-compatible regular expression library for use with mingw64.

PCRE has its own native API, but a set of ""wrapper"" functions that are based on
the POSIX API are also supplied in the library libpcreposix. Note that this
just provides a POSIX calling interface to PCRE: the regular expressions
themselves still follow Perl syntax and semantics. The header file
for the POSIX-style functions is called pcreposix.h.",mingw32 mingw64 pcre ,mingw32 perl pcre libpcreposix posix ,library static version ,library expression regular posix function ,5,应用库
nkf,"
A Kanji code conversion filter.
Perl extension for Network Kanji Filter.","
Nkf is a Kanji code converter for terminals, hosts, and networks. Nkf
converts input Kanji code to 7-bit JIS, MS-kanji (shifted-JIS) or
EUC.
This is a Perl Extension version of nkf (Network Kanji Filter).
It converts the last argument and return converted result.
Conversion details are specified by flags before the last argument.",kanji perl filter ,nkf kanji converter perl terminals ,kanji filter perl ,kanji network code last convert ,5,应用库
opensp,"
SGML and XML parser.","
OpenSP is an implementation of the ISO/IEC 8879:1986 standard SGML
(Standard Generalized Markup Language). OpenSP is based on James
Clark's SP implementation of SGML. OpenSP is a command-line
application and a set of components, including a generic API.",sgml xml parser ,opensp sgml implementation markup iec ,sgml parser ,opensp sgml standard implementation command-line ,5,应用库
perl-Archive-Tar,"
A module for Perl manipulation of .tar files.","
Archive::Tar provides an object oriented mechanism for handling tar
files.  It provides class methods for quick and easy files handling
while also allowing for the creation of tar file objects for custom
manipulation.  If you have the IO::Zlib module installed, Archive::Tar
will also support compressed or gzipped tar files.",perl tar files ,tar archive compressed gzipped zlib ,module perl manipulation ,file also object handle archive ,5,应用库
perl-Archive-Zip,"
Perl library for accessing Zip archives.","
The Archive::Zip module allows a Perl program to create, manipulate,
read, and write Zip archive files.
Zip archives can be created, or you can read from existing zip files.
Once created, they can be written to files, streams, or strings.
Members can be added, removed, extracted, replaced, rearranged, and
enumerated.  They can also be renamed or have their dates, comments,
or other attributes queried or modified.  Their data can be compressed
or uncompressed as needed.  Members can be created from members in
existing Zip files, or from existing directories, files, or strings.",zip perl archives ,archive zip perl compressed files ,perl library access ,create file archive members date ,5,应用库
perl-Authen-SASL,"
SASL Authentication framework for Perl.","
SASL is a generic mechanism for authentication used by several network
protocols. Authen::SASL provides an implementation framework that all
protocols should be able to share.",perl sasl authentication ,sasl protocols authentication authen framework ,sasl authentication framework ,protocol implementation framework mechanism authentication ,5,应用库
perl-B-Debug,"
Walk Perl syntax tree, print debug information about op-codes.","
Walk Perl syntax tree and print debug information about op-codes. See
B::Concise and B::Terse for other details.",perl syntax debug ,perl syntax debug print codes ,tree print debug ,tree print syntax debug perl ,5,应用库
perl-B-Hooks-EndOfScope,"
Execute code after scope compilation finishes.","
This module allows you to execute code when Perl has finished compiling the
surrounding scope.",compilation execute scope ,perl module scope execute compiling ,execute code scope ,perl code finish execute compile ,5,应用库
perl-bignum,"
Transparent big number support for Perl.","
This package attempts to make it easier to write scripts that use BigInts and
BigFloats in a transparent way.",perl number transparent ,bigfloats bigints scripts package transparent ,transparent number support ,write easy script make bigints ,5,应用库
perl-B-Lint,"
Perl lint.","
The B::Lint module is equivalent to an extended version of the -w option of
perl. It is named after the program lint which carries out a similar process
for C programs.",perl lint ,lint perl module equivalent programs ,perl lint ,equivalent extended version option program ,5,应用库
perl-Canary-Stability,"
Canary to check perl compatibility for Schmorp's modules.","
This module is used by Schmorp's modules during configuration stage to test
the installed perl for compatibility with his modules.",perl schmorp compatibility ,perl module schmorp configuration used ,check perl compatibility ,module stage test configuration installed ,5,应用库
perl-Capture-Tiny,"
Capture STDOUT and STDERR from Perl, XS or external programs.","
Capture::Tiny provides a simple, portable way to capture anything sent to
STDOUT or STDERR, regardless of whether it comes from Perl, from XS code or
from an external program. Optionally, output can be teed so that it is
captured while being passed through to the original handles. Yes, it even
works on Windows. Stop guessing which of a dozen capturing modules to use
in any particular situation and just use this one.",stdout perl stderr ,stdout capturing perl tiny xs ,stdout stderr perl ,capture come anything whether send ,5,应用库
perl-Carp-Clan,"
Perl module to print improved warning messages.","
This module reports errors from the perspective of the caller of a
""clan"" of modules, similar to ""Carp.pm"" itself. But instead of giving
it a number of levels to skip on the calling stack, you give it a
pattern to characterize the package names of the ""clan"" of modules
which shall never be blamed for any error.",perl print warning ,module errors clan caller carp ,module print improved ,clan module give error stack ,5,应用库
perl-Class-Inspector,"
Get information about a class and its structure.","
Class::Inspector allows you to get information about a loaded class.
Most or all of this information can be found in other ways, but they aren't
always very friendly, and usually involve a relatively high level of Perl
wizardry, or strange and unusual looking code. Class::Inspector attempts to
provide an easier, more friendly interface to this information.",class structure information ,class inspector perl interface information ,information class structure ,friendly information wizardry class perl ,5,应用库
perl-Class-ISA,"
Report the search path for a class's ISA tree.","
This library provides functions that return the list (in order) of names of
(super-)classes Perl would search to find a method, with no duplicates.",isa path tree ,perl duplicates classes list method ,report search path ,would list order perl name ,5,应用库
perl-Clone,"
Recursively copy perl data types.","
This module provides a clone() method which makes recursive
copies of nested hash, array, scalar and reference types,
including tied variables and objects.

clone() takes a scalar argument and an optional parameter that
can be used to limit the depth of the copy. To duplicate lists,
arrays or hashes, pass them in by reference.",perl recursively copy ,clone hashes arrays recursive module ,recursively copy perl ,scalar copy array hash reference ,5,应用库
perl-common-sense,"
""Common sense"" Perl defaults.","
This module implements some sane defaults for Perl programs, as defined
by two typical (or not so typical - use your common sense) specimens of
Perl coders:

It's supposed to be mostly the same, with much lower memory usage, as:

	use utf8;
	use strict qw(vars subs);
	use feature qw(say state switch);
	use feature qw(unicode_strings unicode_eval current_sub fc evalbytes);
	no feature qw(array_base);
	no warnings;
	use warnings qw(FATAL closed threads internal debugging pack
			portable prototype inplace io pipe unpack malloc
			deprecated glob digit printf layer
			reserved taint closure semicolon);
	no warnings qw(exec newline unopened);",perl defaults common ,perl unicode_strings coders printf warnings ,common sense perl ,warning perl feature semicolon closure ,5,应用库
perl-Config-AutoConf,"
A module to implement some of AutoConf macros in pure Perl.","
This module simulates some of the tasks autoconf macros do.  To detect
a command, a library and similar.",perl autoconf macros ,autoconf command macros detect tasks ,implement autoconf macro ,detect command library similar module ,5,应用库
perl-Config-Perl-V,"
Structured data retrieval of perl -V output.","
The command ""perl -V"" will return you an excerpt from the %Config::Config
hash combined with the output of ""perl -V"" that is not stored inside the hash,
but only available to the perl binary itself. This package provides Perl
module that will return you the output of ""perl -V"" in a structure.",perl retrieval structured ,perl hash output command config ,structured data retrieval ,perl return output hash combine ,5,应用库
perl-Config-Tiny,"
Perl module for reading and writing .ini style configuration files.","
Config::Tiny is a Perl module designed for reading and writing .ini
style configuration files. It is designed for simplicity and ease of
use, and thus only supports the most basic operations.",perl ini configuration ,perl tiny config ini files ,reading write style ,design reading write ease thus ,5,应用库
perl-CPAN,"
Query, download and build perl modules from CPAN sites.","
The CPAN module automates or at least simplifies the make and install of
perl modules and extensions. It includes some primitive searching
capabilities and knows how to use LWP, HTTP::Tiny, Net::FTP and certain
external download clients to fetch distributions from the net.",perl cpan modules ,cpan perl modules ftp automates ,build perl module ,module external know http certain ,5,应用库
perl-CPAN-Meta,"
Distribution metadata for a CPAN dist.","
Software distributions released to the CPAN include a META.json or, for older
distributions, META.yml, which describes the distribution, its contents, and
the requirements for building and installing the distribution. The data
structure stored in the META.json file is described in CPAN::Meta::Spec.",cpan metadata distribution ,cpan software yml json spec ,distribution metadata cpan ,distribution describe meta.json cpan include ,5,应用库
perl-CPAN-Meta-Requirements,"
Set of version requirements for a CPAN dist.","
A CPAN::Meta::Requirements object models a set of version constraints like
those specified in the META.yml or META.json files in CPAN distributions. It
can be built up by adding more and more constraints, and it will reduce them
to the simplest representation.

Logically impossible constraints will be identified immediately by thrown
exceptions.",cpan requirements version ,constraints cpan requirements models yml ,version requirement cpan ,constraint cpan meta.yml like specify ,5,应用库
perl-CPAN-Meta-YAML,"
Read and write a subset of YAML for CPAN Meta files.","
This module implements a subset of the YAML specification for use in reading
and writing CPAN metadata files like META.yml and MYMETA.yml. It should not be
used for any other general YAML parsing or generation task.",yaml cpan files ,yaml yml metadata cpan module ,subset yaml cpan ,yaml specification metadata reading cpan ,5,应用库
perl-Crypt-OpenSSL-Bignum,"
Perl interface to OpenSSL for Bignum.","
Crypt::OpenSSL::Bignum provides access to OpenSSL multiprecision integer
arithmetic libraries. Presently, many though not all of the arithmetic
operations that OpenSSL provides are exposed to perl. In addition, this
module can be used to provide access to bignum values produced by other
OpenSSL modules, such as key parameters from Crypt::OpenSSL::RSA.",openssl perl bignum ,openssl bignum crypt perl rsa ,perl interface openssl ,openssl provide arithmetic access module ,5,应用库
perl-Crypt-OpenSSL-RSA,"
Perl interface to OpenSSL for RSA.","
Crypt::OpenSSL::RSA - RSA encoding and decoding, using the openSSL libraries",openssl perl rsa ,openssl rsa crypt decoding libraries ,perl interface openssl ,crypt encoding decoding openssl library ,5,应用库
perl-Data-Dumper,"
Stringify perl data structures, suitable for printing and eval.","
Given a list of scalars or reference variables, writes out their contents
in perl syntax. The references can also be objects. The content of each
variable is output in a single Perl statement. Handles self-referential
structures correctly.",perl stringify eval ,perl scalars syntax referential list ,data structure suitable ,variable reference perl content write ,5,应用库
perl-Data-OptList,"
Parse and validate simple name/value option pairs.","
Hashes are great for storing named data, but if you want more than one entry
for a name, you have to use a list of pairs. Even then, this is really boring
to write:

$values = [
    foo => undef,
    bar => undef,
    baz => undef,
    xyz => { ... },
];

With Data::OptList, you can do this instead:

$values = Data::OptList::mkopt([
    qw(foo bar baz),
    xyz => { ... },
]);

This works by assuming that any defined scalar is a name and any reference
following a name is its value.",parse validate value ,hashes optlist storing values named ,validate simple name/value ,name data value assume defined ,5,应用库
perl-DateTime,"
Date and time object for Perl.","
DateTime is a class for the representation of date/time combinations.  It
represents the Gregorian calendar, extended backwards in time before its
creation (in 1582). This is sometimes known as the ""proleptic Gregorian
calendar"". In this calendar, the first day of the calendar (the epoch), is the
first day of year 1, which corresponds to the date which was (incorrectly)
believed to be the birth of Jesus Christ.",perl date object ,datetime calendar epoch gregorian day ,date time object ,calendar gregorian incorrectly date correspond ,5,应用库
perl-DateTime-Format-Builder,"
Create DateTime parser classes and objects.","
DateTime::Format::Builder creates DateTime parsers. Many string formats of
dates and times are simple and just require a basic regular expression to
extract the relevant information. Builder provides a simple way to do this
without writing reams of structural code.

Builder provides a number of methods, most of which you'll never need, or at
least rarely need. They're provided more for exposing of the module's innards
to any subclasses, or for when you need to do something slightly beyond what
is expected.",datetime parser classes ,datetime builder formats times parsers ,create datetime parser ,need simple provide regular time ,5,应用库
perl-DateTime-Format-Strptime,"
Parse and format strptime and strftime patterns.","
This module implements most of strptime(3), the POSIX function that is the
reverse of strftime(3), for DateTime. While strftime takes a DateTime and a
pattern and returns a string, strptime takes a string and a pattern and
returns the DateTime object associated.",strptime strftime parse ,strptime strftime datetime module string ,parse format strptime ,strptime datetime pattern return strftime ,5,应用库
perl-DB_File,"
Perl5 access to Berkeley DB version 1.x.","
DB_File is a module which allows Perl programs to make use of the facilities
provided by Berkeley DB version 1.x (if you have a newer version of DB, you
will be limited to functionality provided by interface of version 1.x). The
interface defined here mirrors the Berkeley DB interface closely.",perl5 db berkeley ,db_file db perl berkeley defined ,perl5 access berkeley ,berkeley provide interface program make ,5,应用库
perl-DBI,"
A database access API for perl.","
DBI is a database access Application Programming Interface (API) for
the Perl Language. The DBI API Specification defines a set of
functions, variables and conventions that provide a consistent
database interface independent of the actual database being used.",perl database api ,dbi database perl api specification ,database access perl ,interface database convention consistent provide ,5,应用库
perl-Devel-CallChecker,"
Custom op checking attached to subroutines.","
This module makes some new features of the Perl 5.14.0 C API available to
XS modules running on older versions of Perl. The features are centered
around the function cv_set_call_checker, which allows XS code to attach a
magical annotation to a Perl subroutine, resulting in resolvable calls to
that subroutine being mutated at compile time by arbitrary C code. This
module makes cv_set_call_checker and several supporting functions
available. (It is possible to achieve the effect of cv_set_call_checker
from XS code on much earlier Perl versions, but it is painful to achieve
without the centralized facility.)",subroutines checking op ,perl cv_set_call_checker annotation xs calls ,custom check attach ,cv_set_call_checker perl code achieve subroutine ,5,应用库
perl-Devel-GlobalDestruction,"
Expose PL_dirty, the flag that marks global destruction.","
Perl's global destruction is a little tricky to deal with with respect to
finalizers because it's not ordered and objects can sometimes disappear.

Writing defensive destructors is hard and annoying, and usually if global
destruction is happening you only need the destructors that free up non
process local resources to actually execute.

For these constructors you can avoid the mess by simply bailing out if
global destruction is in effect.",flag pl_dirty expose ,destructors finalizers destruction perl global ,pl_dirty flag mark ,destruction global destructors finalizers respect ,5,应用库
perl-Devel-PPPort,"
Perl Pollution Portability header generator.","
Perl's API has changed over time, gaining new features, new functions,
increasing its flexibility, and reducing the impact on the C name space
environment (reduced pollution). The header file written by this module,
typically ppport.h, attempts to bring some of the newer Perl API features
to older versions of Perl, so that you can worry less about keeping track
of old releases, but users can still reap the benefit.",perl pollution portability ,perl ppport header versions api ,perl pollution portability ,perl feature reduce release typically ,5,应用库
perl-Devel-Size,"
Perl extension for finding the memory usage of Perl variables.","
This module figures out the real sizes of Perl variables in bytes. Call
functions with a reference to the variable you want the size of. If the
variable is a plain scalar it returns the size of the scalar. If the
variable is a hash or an array, use a reference when calling.",perl memory variables ,perl bytes variable sizes scalar ,perl find memory ,variable size reference call real ,5,应用库
perl-Devel-StackTrace,"
Perl module implementing stack trace and stack trace frame objects.","
The Devel::StackTrace module contains two classes, Devel::StackTrace
and Devel::StackTraceFrame.  The goal of this object is to encapsulate
the information that can found through using the caller() function, as
well as providing a simple interface to this data.

The Devel::StackTrace object contains a set of Devel::StackTraceFrame
objects, one for each level of the stack.  The frames contain all the
data available from caller() as of Perl 5.6.0.",perl trace stack ,stacktrace stacktraceframe perl devel caller ,stack trace perl ,caller contain object data find ,5,应用库
perl-Devel-Symdump,"
A Perl module for inspecting Perl's symbol table.","
The perl module Devel::Symdump provides a convenient way to inspect
perl's symbol table and the class hierarchy within a running program.",perl symbol table ,perl symdump symbol inspect hierarchy ,perl module inspect ,perl class inspect table symbol ,5,应用库
perl-Digest,"
Modules that calculate message digests.","
The Digest:: modules calculate digests, also called ""fingerprints"" or
""hashes"", of some data, called a message. The digest is (usually)
some small/fixed size string. The actual size of the digest depend of
the algorithm used. The message is simply a sequence of arbitrary
bytes or bits.",modules digests message ,digest digests hashes bytes modules ,modules calculate message ,digest message call size also ,5,应用库
perl-Digest-MD5,"
Perl interface to the MD5 algorithm.","
The Digest::MD5 module allows you to use the RSA Data Security Inc. MD5
Message Digest algorithm from within Perl programs. The algorithm takes as
input a message of arbitrary length and produces as output a 128-bit
""fingerprint"" or ""message digest"" of the input.",md5 perl algorithm ,perl md5 rsa digest fingerprint ,perl interface algorithm ,message digest algorithm input inc. ,5,应用库
perl-Digest-SHA,"
Perl extension for SHA-1/224/256/384/512.","
Digest::SHA is a complete implementation of the NIST Secure Hash Standard. It
gives Perl programmers a convenient way to calculate SHA-1, SHA-224, SHA-256,
SHA-384, SHA-512, SHA-512/224, and SHA-512/256 message digests. The module can
handle all types of input, including partial-byte data.",perl sha 224 ,hash sha digest perl byte ,perl extension sha-1/224/256/384/512 ,digest calculate sha-1 sha-512 type ,5,应用库
